invoice_no,material,qty,rate,amount
INV/000001,Mint Flavour,2618,289.81,758722.58
INV/000002,Edible Starch,517,674.14,348530.38
INV/000002,Menthol Crystals,1930,843.64,1628225.2
INV/000002,Menthol Crystals,1349,222.95,300759.55
INV/000002,Glucose Syrup,207,749.35,155115.45
INV/000003,Primary Freight,3613,183.22,661973.86
INV/000003,Warehousing,4379,284.81,1247182.99
INV/000003,Primary Freight,4990,874.87,4365601.3
INV/000004,Mint Flavour,1186,125.59,148949.74
INV/000005,Housekeeping,3486,526.36,1834890.96
INV/000005,AMC-Machinery,2114,725.28,1533241.92
INV/000005,IT AMC,1038,646.14,670693.32
INV/000005,Security Services,467,124.9,58328.3
INV/000006,Security Services,4866,443.82,2159628.12
INV/000006,IT AMC,1539,599.27,922276.53
INV/000007,Milk Solids,173,503.24,87060.52
INV/000007,Menthol Crystals,783,102.46,80226.18
INV/000008,Corrugated Box,871,840.26,731866.46
INV/000008,Wrapper Film,3000,725.49,2176470.0
INV/000008,Shrink Sleeve,2188,708.01,1549125.88
INV/000008,Wrapper Film,2363,23.91,56499.33
INV/000009,AMC-Machinery,1704,548.57,934763.28
INV/000010,Glucose Syrup,638,387.89,247473.82
INV/000010,Milk Solids,1902,589.52,1121267.04
INV/000011,Corrugated Box,1221,673.44,822270.24
INV/000011,Mono Carton,4212,101.91,429244.92
INV/000012,Permitted Colour,1001,284.82,285104.82
INV/000013,IT AMC,821,145.02,119061.42
INV/000014,IT AMC,1014,55.62,56398.68
INV/000015,Warehousing,4149,458.04,1900407.96
INV/000015,Cold-Chain Haulage,1624,788.5,1280524.0
INV/000016,Corrugated Box,1221,230.45,281379.45
INV/000016,Corrugated Box,3230,379.31,1225171.3
INV/000016,Shrink Sleeve,2877,51.93,149402.61
INV/000016,Shrink Sleeve,85,475.19,40391.15
INV/000017,Secondary Freight,2050,96.41,197640.5
INV/000018,Secondary Freight,1637,703.29,1151285.73
INV/000018,Warehousing,4020,581.1,2336022.0
INV/000018,Secondary Freight,3100,128.02,396862.0
