invoice_no,po_no,grn_no,vendor_code,vendor_gstin,invoice_date,plant_code,subtotal,gst_pct,gst_amount,total_amount
INV/000001,PO-2024-00001,GRN-00001,VEND-0022,35SYN4697H1Z2,2025-05-09,PLNT-07,758722.58,18,136570.06,895292.64
INV/000002,PO-2024-00002,GRN-00002,VEND-0029,24SYN7301G1Z0,2025-01-03,PLNT-03,2432630.58,18,437873.5,2870504.08
INV/000003,PO-2024-00003,GRN-00003,VEND-0046,12SYN6424A1Z0,2025-02-14,PLNT-09,6274758.15,5,313737.91,6588496.06
INV/000004,PO-2024-00004,GRN-00004,VEND-0002,17SYN4896A1Z7,2024-04-05,PLNT-02,148949.74,12,17873.97,166823.71
INV/000005,PO-2024-00005,GRN-00005,VEND-0119,35SYN9930F1Z1,2024-03-17,PLNT-07,4097154.5,18,737487.81,4834642.31
INV/000006,PO-2024-00006,GRN-00006,VEND-0103,12SYN5985A1Z2,2024-11-20,PLNT-04,3081904.65,12,369828.56,3451733.21
INV/000007,PO-2024-00007,GRN-00007,VEND-0101,14SYN8435H1Z0,2024-07-01,PLNT-09,167286.7,12,20074.4,187361.1
INV/000008,PO-2024-00008,GRN-00008,VEND-0038,29SYN6000D1Z4,2025-02-05,PLNT-10,4513961.67,18,812513.1,5326474.77
INV/000009,PO-2024-00009,GRN-00009,VEND-0117,08SYN2481G1Z4,2024-06-04,PLNT-01,934763.28,5,46738.16,981501.44
INV/000010,PO-2024-00010,GRN-00010,VEND-0113,35SYN3853E1Z1,2025-02-24,PLNT-01,1368740.86,12,164248.9,1532989.76
INV/000011,PO-2024-00011,GRN-00011,VEND-0039,19SYN6118B1Z0,2024-09-15,PLNT-08,1251515.16,5,62575.76,1314090.92
INV/000012,PO-2024-00012,GRN-00012,VEND-0031,17SYN8242C1Z7,2024-09-28,PLNT-11,285104.82,18,51318.87,336423.69
INV/000013,PO-2024-00013,GRN-00013,VEND-0096,34SYN2449G1Z5,2025-06-01,PLNT-02,119061.42,5,5953.07,125014.49
INV/000014,PO-2024-00014,GRN-00014,VEND-0078,31SYN1175A1Z6,2024-10-26,PLNT-13,56398.68,18,10151.76,66550.44
INV/000015,PO-2024-00015,GRN-00015,VEND-0046,12SYN6424A1Z0,2024-10-26,PLNT-02,3180931.96,12,381711.84,3562643.8
INV/000016,PO-2024-00016,,VEND-0068,33SYN5455H1Z6,2024-02-04,PLNT-04,1696344.51,12,203561.34,1899905.85
INV/000017,PO-2024-00017,GRN-00017,VEND-0005,27SYN7849F1Z6,2024-03-08,PLNT-05,197640.5,18,35575.29,233215.79
INV/000018,PO-2024-00018,GRN-00018,VEND-0088,07SYN3699H1Z8,2025-03-28,PLNT-10,5783149.75,5,289157.49,6072307.24
INV/000019,PO-2024-00019,GRN-00019,VEND-0105,06SYN3530G1Z2,2025-04-28,PLNT-15,2083016.57,18,374942.98,2457959.55
INV/000020,PO-2024-00020,GRN-00020,VEND-0071,11SYN7451D1Z7,2024-10-13,PLNT-01,1887414.64,5,94370.73,1981785.37
INV/000021,PO-2024-00021,GRN-00021,VEND-0006,29SYN5618E1Z1,2025-05-30,PLNT-10,8327469.91,5,416373.5,8743843.41
INV/000022,PO-2024-00022,GRN-00022,VEND-0068,33SYN5455H1Z6,2024-04-19,PLNT-07,2332710.32,5,116635.52,2449345.84
INV/000023,PO-2024-00023,GRN-00023,VEND-0069,18SYN3392H1Z6,2025-06-16,PLNT-06,260781.36,12,31293.76,292075.12
INV/000024,PO-2024-00024,GRN-00024,VEND-0053,06SYN6012A1Z4,2025-02-06,PLNT-12,8489026.76,5,424451.34,8913478.1
INV/000025,PO-2024-00025,GRN-00025,VEND-0007,31SYN5053F1Z4,2024-03-08,PLNT-10,459210.18,12,55105.22,514315.4
INV/000026,PO-2024-00026,,VEND-0076,12SYN8277G1Z5,2025-01-18,PLNT-02,4841278.58,18,871430.14,5712708.72
INV/000027,PO-2024-00027,GRN-00027,VEND-0026,18SYN3971A1Z2,2025-01-08,PLNT-10,7554822.7,18,1359868.09,8914690.79
INV/000028,PO-2024-00028,GRN-00028,VEND-0106,25SYN7571D1Z6,2024-06-30,PLNT-14,189738.36,18,34152.9,223891.26
INV/000029,PO-2024-00029,GRN-00029,VEND-0001,05SYN7964D1Z5,2024-03-25,PLNT-14,6040900.57,5,302045.03,6342945.6
INV/000030,PO-2024-00030,GRN-00030,VEND-0021,34SYN7702E1Z3,2025-04-25,PLNT-15,801591.57,12,96190.99,897782.56
INV/000031,PO-2024-00031,GRN-00031,VEND-0012,21SYN8990D1Z0,2024-09-27,PLNT-15,2127011.53,5,106350.58,2233362.11
INV/000032,PO-2024-00032,GRN-00032,VEND-0065,23SYN4255D1Z8,2024-01-18,PLNT-01,7301282.53,5,365064.13,7666346.66
INV/000033,PO-2024-00033,GRN-00033,VEND-0008,14SYN2642D1Z8,2025-06-30,PLNT-06,289773.56,12,34772.83,324546.39
INV/000034,PO-2024-00034,GRN-00034,VEND-0085,08SYN3968A1Z5,2024-01-23,PLNT-01,3853560.95,18,693640.97,4547201.92
INV/000035,PO-2024-00035,GRN-00035,VEND-0002,17SYN4896A1Z7,2024-01-21,PLNT-07,167289.45,18,30112.1,197401.55
INV/000036,PO-2024-00036,GRN-00036,VEND-0005,27SYN7849F1Z6,2024-05-22,PLNT-04,240579.18,5,12028.96,252608.14
INV/000037,PO-2024-00037,GRN-00037,VEND-0090,14SYN6511D1Z5,2025-03-15,PLNT-13,2491043.08,18,448387.75,2939430.83
INV/000038,PO-2024-00038,GRN-00038,VEND-0078,31SYN1175A1Z6,2024-09-10,PLNT-09,2550887.91,5,127544.4,2678432.31
INV/000039,PO-2024-00039,GRN-00039,VEND-0011,17SYN3044F1Z0,2024-01-06,PLNT-14,4503442.35,18,810619.62,5314061.97
INV/000040,PO-2024-00040,GRN-00040,VEND-0118,03SYN3688G1Z3,2024-12-31,PLNT-05,2083097.91,12,249971.75,2333069.66
INV/000041,PO-2024-00041,GRN-00041,VEND-0066,05SYN4082B1Z1,2024-06-05,PLNT-15,1500934.2,12,180112.1,1681046.3
INV/000042,PO-2024-00042,,VEND-0064,12SYN7152C1Z5,2024-06-29,PLNT-15,5377734.16,12,645328.1,6023062.26
INV/000043,PO-2024-00043,GRN-00043,VEND-0097,20SYN5260B1Z7,2024-06-22,PLNT-06,1003341.88,12,120401.03,1123742.91
INV/000044,PO-2024-00044,GRN-00044,VEND-0081,06SYN6256H1Z0,2025-01-02,PLNT-14,3400956.23,12,408114.75,3809070.98
INV/000045,PO-2024-00045,GRN-00045,VEND-0105,06SYN3530G1Z2,2024-10-26,PLNT-10,7525007.84,12,903000.94,8428008.78
INV/000046,PO-2024-00046,GRN-00046,VEND-0099,21SYN5685F1Z7,2025-04-09,PLNT-06,45030.44,5,2251.52,47281.96
INV/000047,PO-2024-00047,GRN-00047,VEND-0086,07SYN7098D1Z0,2024-02-04,PLNT-07,2768887.39,18,498399.73,3267287.12
INV/000048,PO-2024-00048,GRN-00048,VEND-0064,12SYN7152C1Z5,2025-04-18,PLNT-09,2114520.72,12,253742.49,2368263.21
INV/000049,PO-2024-00049,GRN-00049,VEND-0083,28SYN4741C1Z7,2025-03-04,PLNT-15,6039734.16,18,1087152.15,7126886.31
INV/000050,PO-2024-00050,GRN-00050,VEND-0019,19SYN1394E1Z4,2025-01-27,PLNT-15,8621194.38,18,1551814.99,10173009.37
INV/000051,PO-2024-00051,GRN-00051,VEND-0097,20SYN5260B1Z7,2024-03-07,PLNT-12,937328.08,18,168719.05,1106047.13
INV/000052,PO-2024-00052,GRN-00052,VEND-0058,05SYN7943A1Z6,2024-04-21,PLNT-14,1600458.83,18,288082.59,1888541.42
INV/000053,PO-2024-00053,GRN-00053,VEND-0091,12SYN1205G1Z1,2025-04-23,PLNT-01,4979232.47,12,597507.9,5576740.37
INV/000054,PO-2024-00054,GRN-00054,VEND-0058,05SYN7943A1Z6,2025-05-06,PLNT-08,5938333.24,5,296916.66,6235249.9
INV/000055,PO-2024-00055,GRN-00055,VEND-0100,17SYN3560A1Z0,2024-07-18,PLNT-09,2173387.88,12,260806.55,2434194.43
INV/000056,PO-2024-00056,GRN-00056,VEND-0080,17SYN3777F1Z5,2024-05-26,PLNT-07,2993504.66,18,538830.84,3532335.5
INV/000057,PO-2024-00057,GRN-00057,VEND-0110,03SYN2271C1Z4,2025-07-06,PLNT-07,10156728.09,5,507836.4,10664564.49
INV/000058,PO-2024-00058,GRN-00058,VEND-0053,06SYN6012A1Z4,2024-10-22,PLNT-14,4364390.86,18,785590.35,5149981.21
INV/000059,PO-2024-00059,GRN-00059,VEND-0117,08SYN2481G1Z4,2024-06-27,PLNT-12,5935136.67,12,712216.4,6647353.07
INV/000060,PO-2024-00060,GRN-00060,VEND-0071,11SYN7451D1Z7,2024-07-15,PLNT-14,2037606.22,12,244512.75,2282118.97
INV/000061,PO-2024-00061,GRN-00061,VEND-0114,35SYN6712E1Z2,2025-05-31,PLNT-06,79324.85,18,14278.47,93603.32
INV/000062,PO-2024-00062,GRN-00062,VEND-0004,05SYN5737A1Z8,2024-03-24,PLNT-01,6111676.42,5,305583.82,6417260.24
INV/000063,PO-2024-00063,GRN-00063,VEND-0005,27SYN7849F1Z6,2024-05-27,PLNT-14,3276615.42,18,589790.78,3866406.2
INV/000064,PO-2024-00064,GRN-00064,VEND-0089,36SYN6228E1Z4,2025-02-05,PLNT-11,2471024.18,18,444784.35,2915808.53
INV/000065,PO-2024-00065,GRN-00065,VEND-0118,03SYN3688G1Z3,2024-09-08,PLNT-02,856902.8,5,42845.14,899747.94
INV/000066,PO-2024-00066,GRN-00066,VEND-0027,21SYN7027E1Z8,2025-02-08,PLNT-15,2942823.54,12,353138.82,3295962.36
INV/000067,PO-2024-00067,GRN-00067,VEND-0029,24SYN7301G1Z0,2025-02-01,PLNT-10,1642304.4,5,82115.22,1724419.62
INV/000068,PO-2024-00068,GRN-00068,VEND-0074,33SYN2148A1Z4,2024-03-03,PLNT-09,42435.36,18,7638.36,50073.72
INV/000069,PO-2024-00069,GRN-00069,VEND-0078,31SYN1175A1Z6,2025-06-25,PLNT-12,3411313.86,12,409357.66,3820671.52
