grn_no,po_no,grn_date,material,received_qty
GRN-00001,PO-2024-00001,2025-05-01,Mint Flavour,2618
GRN-00002,PO-2024-00002,2024-12-31,Edible Starch,517
GRN-00002,PO-2024-00002,2024-12-31,Menthol Crystals,1930
GRN-00002,PO-2024-00002,2024-12-31,Menthol Crystals,1349
GRN-00002,PO-2024-00002,2024-12-31,Glucose Syrup,207
GRN-00003,PO-2024-00003,2025-02-11,Primary Freight,3613
GRN-00003,PO-2024-00003,2025-02-11,Warehousing,4379
GRN-00003,PO-2024-00003,2025-02-11,Primary Freight,4990
GRN-00004,PO-2024-00004,2024-04-05,Mint Flavour,1186
GRN-00005,PO-2024-00005,2024-03-12,Housekeeping,3486
GRN-00005,PO-2024-00005,2024-03-12,AMC-Machinery,2114
GRN-00005,PO-2024-00005,2024-03-12,IT AMC,1038
GRN-00005,PO-2024-00005,2024-03-12,Security Services,467
GRN-00006,PO-2024-00006,2024-11-20,Security Services,4866
GRN-00006,PO-2024-00006,2024-11-20,IT AMC,1539
GRN-00007,PO-2024-00007,2024-06-22,Milk Solids,173
GRN-00007,PO-2024-00007,2024-06-22,Menthol Crystals,783
GRN-00008,PO-2024-00008,2025-02-16,Corrugated Box,871
GRN-00008,PO-2024-00008,2025-02-16,Wrapper Film,3000
GRN-00008,PO-2024-00008,2025-02-16,Shrink Sleeve,2188
GRN-00008,PO-2024-00008,2025-02-16,Wrapper Film,2363
GRN-00009,PO-2024-00009,2024-05-31,AMC-Machinery,1704
GRN-00010,PO-2024-00010,2025-02-22,Glucose Syrup,638
GRN-00010,PO-2024-00010,2025-02-22,Milk Solids,1902
GRN-00011,PO-2024-00011,2024-09-13,Corrugated Box,1404
GRN-00011,PO-2024-00011,2024-09-13,Mono Carton,4844
GRN-00012,PO-2024-00012,2024-09-25,Permitted Colour,1001
GRN-00013,PO-2024-00013,2025-05-27,IT AMC,821
GRN-00014,PO-2024-00014,2024-10-19,IT AMC,1014
GRN-00015,PO-2024-00015,2024-10-18,Warehousing,4149
GRN-00015,PO-2024-00015,2024-10-18,Cold-Chain Haulage,1624
,PO-2024-00016,,Corrugated Box,0
,PO-2024-00016,,Corrugated Box,0
,PO-2024-00016,,Shrink Sleeve,0
,PO-2024-00016,,Shrink Sleeve,0
GRN-00017,PO-2024-00017,2024-03-07,Secondary Freight,2050
GRN-00018,PO-2024-00018,2025-03-26,Secondary Freight,1637
GRN-00018,PO-2024-00018,2025-03-26,Warehousing,4020
GRN-00018,PO-2024-00018,2025-03-26,Secondary Freight,3100
GRN-00018,PO-2024-00018,2025-03-26,Warehousing,3906
GRN-00019,PO-2024-00019,2025-04-24,Security Services,1956
GRN-00019,PO-2024-00019,2025-04-24,IT AMC,1286
GRN-00019,PO-2024-00019,2025-04-24,IT AMC,1368
GRN-00019,PO-2024-00019,2025-04-24,IT AMC,867
GRN-00020,PO-2024-00020,2024-10-06,Secondary Freight,2197
GRN-00020,PO-2024-00020,2024-10-06,Warehousing,1928
GRN-00021,PO-2024-00021,2025-05-26,Menthol Crystals,1675
GRN-00021,PO-2024-00021,2025-05-26,Edible Starch,4804
GRN-00021,PO-2024-00021,2025-05-26,Edible Starch,4250
GRN-00021,PO-2024-00021,2025-05-26,Glucose Syrup,2787
GRN-00022,PO-2024-00022,2024-04-19,Shrink Sleeve,3007
GRN-00023,PO-2024-00023,2025-06-10,Edible Starch,3128
GRN-00024,PO-2024-00024,2025-01-28,PET Bottle 500ml,888
GRN-00024,PO-2024-00024,2025-01-28,Wrapper Film,4014
GRN-00024,PO-2024-00024,2025-01-28,Shrink Sleeve,4983
GRN-00024,PO-2024-00024,2025-01-28,Wrapper Film,3985
GRN-00025,PO-2024-00025,2024-03-02,IT AMC,897
,PO-2024-00026,,Cold-Chain Haulage,0
,PO-2024-00026,,Warehousing,0
,PO-2024-00026,,Primary Freight,0
,PO-2024-00026,,Cold-Chain Haulage,0
GRN-00027,PO-2024-00027,2025-01-04,Permitted Colour,3882
GRN-00027,PO-2024-00027,2025-01-04,Citric Acid,3666
GRN-00027,PO-2024-00027,2025-01-04,Cocoa Mass,1701
GRN-00027,PO-2024-00027,2025-01-04,Citric Acid,3190
GRN-00028,PO-2024-00028,2024-06-21,Mint Flavour,476
GRN-00029,PO-2024-00029,2024-03-24,Refined Sugar,4747
GRN-00029,PO-2024-00029,2024-03-24,Menthol Crystals,4683
GRN-00029,PO-2024-00029,2024-03-24,Glucose Syrup,742
GRN-00030,PO-2024-00030,2025-04-21,Refined Sugar,1391
GRN-00031,PO-2024-00031,2024-09-27,Primary Freight,2745
GRN-00031,PO-2024-00031,2024-09-27,Primary Freight,110
GRN-00031,PO-2024-00031,2024-09-27,Warehousing,2184
GRN-00032,PO-2024-00032,2024-01-13,Glucose Syrup,4260
GRN-00032,PO-2024-00032,2024-01-13,Refined Sugar,4505
GRN-00032,PO-2024-00032,2024-01-13,Refined Sugar,308
GRN-00032,PO-2024-00032,2024-01-13,Glucose Syrup,5062
GRN-00033,PO-2024-00033,2025-06-24,Mono Carton,3268
GRN-00034,PO-2024-00034,2024-01-21,Wrapper Film,757
GRN-00034,PO-2024-00034,2024-01-21,Wrapper Film,4051
GRN-00035,PO-2024-00035,2024-01-21,Citric Acid,305
GRN-00036,PO-2024-00036,2024-05-14,Secondary Freight,333
GRN-00037,PO-2024-00037,2025-03-09,Cardamom Oil,4198
GRN-00037,PO-2024-00037,2025-03-09,Mint Flavour,2308
GRN-00037,PO-2024-00037,2025-03-09,Permitted Colour,1048
GRN-00037,PO-2024-00037,2025-03-09,Citric Acid,2722
GRN-00038,PO-2024-00038,2024-09-02,AMC-Machinery,312
GRN-00038,PO-2024-00038,2024-09-02,IT AMC,1005
