month,category,revenue,units,cogs,gross_margin,marketing,distribution,overheads,ebitda
2023-10,Beverages,3137504.0,58486,1727140.0,1410364.0,251000.0,188250.0,313750.0,657364.0
2023-10,Confectionery,645548.24,77302,345385.0,300163.0,51644.0,38733.0,64555.0,145231.0
2023-10,Dairy,2086066.0,29119,1232041.0,854025.0,166885.0,125164.0,208607.0,353369.0
2023-10,MouthFreshener,5129094.0,90262,2860532.0,2268562.0,410328.0,307746.0,512909.0,1037579.0
2023-10,Snacks,1311076.4,43235,754499.0,556577.0,104886.0,78665.0,131108.0,241918.0
2023-10,Spices,6362549.0,36603,3412004.0,2950545.0,509004.0,381753.0,636255.0,1423533.0
2023-11,Beverages,1962116.2,36724,1084490.0,877626.0,156969.0,117727.0,196212.0,406718.0
2023-11,Confectionery,380240.0,45561,203567.0,176673.0,30419.0,22814.0,38024.0,85416.0
2023-11,Dairy,1704417.0,23873,1010080.0,694337.0,136353.0,102265.0,170442.0,285277.0
2023-11,MouthFreshener,2886610.0,50628,1604474.0,1282136.0,230929.0,173197.0,288661.0,589349.0
2023-11,Snacks,1057474.0,35030,611312.0,446162.0,84598.0,63448.0,105747.0,192369.0
2023-11,Spices,5429239.0,31220,2910219.0,2519020.0,434339.0,325754.0,542924.0,1216003.0
2023-12,Beverages,1534211.0,28758,849248.0,684963.0,122737.0,92053.0,153421.0,316752.0
2023-12,Confectionery,400578.06,48231,215496.0,185082.0,32046.0,24035.0,40058.0,88943.0
2023-12,Dairy,1782603.2,24950,1055648.0,726955.0,142608.0,106956.0,178260.0,299131.0
2023-12,MouthFreshener,2822144.0,49832,1579247.0,1242897.0,225772.0,169329.0,282214.0,565582.0
2023-12,Snacks,1077398.64,35973,627769.0,449630.0,86192.0,64644.0,107740.0,191054.0
2023-12,Spices,6478565.0,37124,3460569.0,3017996.0,518285.0,388714.0,647856.0,1463141.0
2024-01,Beverages,1758474.2,32831,969527.0,788947.0,140678.0,105508.0,175847.0,366914.0
2024-01,Confectionery,462506.8,55651,248649.0,213858.0,37001.0,27750.0,46251.0,102856.0
2024-01,Dairy,2392555.5,33420,1414019.0,978536.0,191404.0,143553.0,239256.0,404323.0
2024-01,MouthFreshener,3017093.3,53211,1686333.0,1330760.0,241367.0,181026.0,301709.0,606658.0
2024-01,Snacks,1296895.96,43180,753539.0,543357.0,103752.0,77814.0,129690.0,232101.0
2024-01,Spices,8974799.0,51587,4808760.0,4166039.0,717984.0,538488.0,897480.0,2012087.0
2024-02,Beverages,1575364.0,29294,865076.0,710288.0,126029.0,94522.0,157536.0,332201.0
2024-02,Confectionery,384963.0,46305,206891.0,178072.0,30797.0,23098.0,38496.0,85681.0
2024-02,Dairy,2013242.0,28129,1190154.0,823088.0,161059.0,120795.0,201324.0,339910.0
2024-02,MouthFreshener,2425355.8,42639,1351291.0,1074065.0,194028.0,145521.0,242536.0,491980.0
2024-02,Snacks,971723.52,32367,564840.0,406884.0,77738.0,58303.0,97172.0,173671.0
2024-02,Spices,7322520.2,42216,3935228.0,3387292.0,585802.0,439351.0,732252.0,1629887.0
2024-03,Beverages,2093007.9,40400,1193046.0,899962.0,167441.0,125580.0,209301.0,397640.0
2024-03,Confectionery,540473.0,64835,289683.0,250790.0,43238.0,32428.0,54047.0,121077.0
2024-03,Dairy,2100116.0,29384,1243253.0,856863.0,168009.0,126007.0,210012.0,352835.0
2024-03,MouthFreshener,3639085.73,63735,2019853.0,1619233.0,291127.0,218345.0,363909.0,745852.0
2024-03,Snacks,921548.0,30605,534091.0,387457.0,73724.0,55293.0,92155.0,166285.0
2024-03,Spices,7885069.0,45180,4211521.0,3673548.0,630806.0,473104.0,788507.0,1781131.0
2024-04,Beverages,3223817.4,60678,1791872.0,1431945.0,257905.0,193429.0,322382.0,658229.0
2024-04,Confectionery,492007.8,59455,265645.0,226363.0,39361.0,29520.0,49201.0,108281.0
2024-04,Dairy,2694491.0,37559,1589142.0,1105349.0,215559.0,161669.0,269449.0,458672.0
2024-04,MouthFreshener,3325324.0,58285,1847135.0,1478189.0,266026.0,199519.0,332532.0,680112.0
2024-04,Snacks,1104009.0,36472,636477.0,467532.0,88321.0,66241.0,110401.0,202569.0
2024-04,Spices,7980754.0,45677,4257850.0,3722904.0,638460.0,478845.0,798075.0,1807524.0
2024-05,Beverages,3163038.7,59406,1754309.0,1408730.0,253043.0,189782.0,316304.0,649601.0
2024-05,Confectionery,382298.88,45818,204715.0,177584.0,30584.0,22938.0,38230.0,85832.0
2024-05,Dairy,2131463.6,30198,1277694.0,853770.0,170517.0,127888.0,213146.0,342219.0
2024-05,MouthFreshener,2801644.8,49183,1558680.0,1242965.0,224132.0,168099.0,280164.0,570570.0
2024-05,Snacks,856660.0,28358,494879.0,361781.0,68533.0,51400.0,85666.0,156182.0
2024-05,Spices,5305243.2,30442,2837697.0,2467546.0,424419.0,318315.0,530524.0,1194288.0
2024-06,Beverages,3632720.6,68442,2021149.0,1611572.0,290618.0,217963.0,363272.0,739719.0
2024-06,Confectionery,369102.36,44271,197803.0,171299.0,29528.0,22146.0,36910.0,82715.0
2024-06,Dairy,2070527.0,28827,1219686.0,850841.0,165642.0,124232.0,207053.0,353914.0
2024-06,MouthFreshener,2899119.0,51317,1626309.0,1272810.0,231930.0,173947.0,289912.0,577021.0
2024-06,Snacks,861913.9,29048,506920.0,354994.0,68953.0,51715.0,86191.0,148135.0
2024-06,Spices,4268482.0,24463,2280355.0,1988127.0,341479.0,256109.0,426848.0,963691.0
2024-07,Beverages,4699702.8,87662,2588732.0,2110971.0,375976.0,281982.0,469970.0,983043.0
2024-07,Confectionery,432466.85,51933,232037.0,200430.0,34597.0,25948.0,43247.0,96638.0
2024-07,Dairy,2601606.0,36019,1523984.0,1077622.0,208128.0,156096.0,260161.0,453237.0
2024-07,MouthFreshener,3723680.4,65624,2079718.0,1643962.0,297894.0,223421.0,372368.0,750279.0
2024-07,Snacks,1118597.2,37047,646511.0,472086.0,89488.0,67116.0,111860.0,203622.0
2024-07,Spices,4389310.4,25239,2352691.0,2036619.0,351145.0,263359.0,438931.0,983184.0
2024-08,Beverages,3622750.5,67735,2000271.0,1622480.0,289820.0,217365.0,362275.0,753020.0
2024-08,Confectionery,532159.8,63927,285626.0,246534.0,42573.0,31930.0,53216.0,118815.0
2024-08,Dairy,1985447.0,27316,1155755.0,829692.0,158836.0,119127.0,198545.0,353184.0
2024-08,MouthFreshener,4654075.0,81012,2567386.0,2086689.0,372326.0,279244.0,465408.0,969711.0
2024-08,Snacks,957502.0,31652,552363.0,405139.0,76600.0,57450.0,95750.0,175339.0
2024-08,Spices,4286113.04,24833,2314845.0,1971268.0,342889.0,257167.0,428611.0,942601.0
2024-09,Beverages,3971657.0,74050,2186758.0,1784899.0,317733.0,238299.0,397166.0,831701.0
2024-09,Confectionery,410100.0,49147,219589.0,190511.0,32808.0,24606.0,41010.0,92087.0
2024-09,Dairy,2370657.0,32723,1384528.0,986129.0,189653.0,142239.0,237066.0,417171.0
2024-09,MouthFreshener,3807850.24,66633,2111695.0,1696155.0,304628.0,228471.0,380785.0,782271.0
2024-09,Snacks,1273217.4,42329,738688.0,534529.0,101857.0,76393.0,127322.0,228957.0
2024-09,Spices,4476713.6,25779,2403028.0,2073686.0,358137.0,268603.0,447671.0,999275.0
2024-10,Beverages,2650084.0,49406,1459000.0,1191084.0,212007.0,159005.0,265008.0,555064.0
2024-10,Confectionery,536991.75,65233,291461.0,245531.0,42959.0,32220.0,53699.0,116653.0
2024-10,Dairy,1860025.0,25681,1086577.0,773448.0,148802.0,111602.0,186002.0,327042.0
2024-10,MouthFreshener,4537981.3,80311,2545170.0,1992811.0,363039.0,272279.0,453798.0,903695.0
2024-10,Snacks,1075603.0,35660,622307.0,453296.0,86048.0,64536.0,107560.0,195152.0
2024-10,Spices,5829463.0,33860,3156311.0,2673152.0,466357.0,349768.0,582946.0,1274081.0
2024-11,Beverages,2049395.68,38252,1129613.0,919783.0,163952.0,122964.0,204940.0,427927.0
2024-11,Confectionery,443555.1,53467,238891.0,204664.0,35484.0,26613.0,44356.0,98211.0
2024-11,Dairy,1942503.0,27954,1182749.0,759754.0,155400.0,116550.0,194250.0,293554.0
2024-11,MouthFreshener,3999824.0,68432,2168708.0,1831116.0,319986.0,239989.0,399982.0,871159.0
2024-11,Snacks,1109387.4,36715,640718.0,468669.0,88751.0,66563.0,110939.0,202416.0
2024-11,Spices,6381857.0,37095,3457866.0,2923991.0,510549.0,382911.0,638186.0,1392345.0
2024-12,Beverages,2027128.14,38654,1141485.0,885643.0,162170.0,121628.0,202713.0,399132.0
2024-12,Confectionery,558844.7,68412,305665.0,253180.0,44708.0,33531.0,55884.0,119057.0
2024-12,Dairy,2636012.0,38070,1610763.0,1025249.0,210881.0,158161.0,263601.0,392606.0
2024-12,MouthFreshener,4767125.8,81701,2589221.0,2177905.0,381370.0,286028.0,476713.0,1033794.0
2024-12,Snacks,1375656.0,45424,792699.0,582957.0,110052.0,82539.0,137566.0,252800.0
2024-12,Spices,9302120.6,54630,5092417.0,4209704.0,744170.0,558127.0,930212.0,1977195.0
2025-01,Beverages,1451963.0,27437,810237.0,641726.0,116157.0,87118.0,145196.0,293255.0
2025-01,Confectionery,385178.4,46593,208178.0,177000.0,30814.0,23111.0,38518.0,84557.0
2025-01,Dairy,2316954.4,33228,1405895.0,911059.0,185356.0,139017.0,231695.0,354991.0
2025-01,MouthFreshener,3004502.5,51615,1635753.0,1368750.0,240360.0,180270.0,300450.0,647670.0
2025-01,Snacks,1110963.0,39150,683211.0,427752.0,88877.0,66658.0,111096.0,161121.0
2025-01,Spices,7934825.95,46102,4297467.0,3637359.0,634786.0,476090.0,793483.0,1733000.0
2025-02,Beverages,1618537.0,30174,891063.0,727474.0,129483.0,97112.0,161854.0,339025.0
2025-02,Confectionery,397113.0,47801,213575.0,183538.0,31769.0,23827.0,39711.0,88231.0
2025-02,Dairy,2549724.4,36194,1531388.0,1018336.0,203978.0,152983.0,254972.0,406403.0
2025-02,MouthFreshener,3058681.75,52242,1655624.0,1403058.0,244695.0,183521.0,305868.0,668974.0
