po_no,vendor_code,plant_code,po_date,material,qty,rate,amount
PO-2024-00001,VEND-0022,PLNT-07,2025-04-26,Mint Flavour,2618,289.81,758722.58
PO-2024-00002,VEND-0029,PLNT-03,2024-12-23,Edible Starch,517,674.14,348530.38
PO-2024-00002,VEND-0029,PLNT-03,2024-12-23,Menthol Crystals,1930,843.64,1628225.2
PO-2024-00002,VEND-0029,PLNT-03,2024-12-23,Menthol Crystals,1349,222.95,300759.55
PO-2024-00002,VEND-0029,PLNT-03,2024-12-23,Glucose Syrup,207,749.35,155115.45
PO-2024-00003,VEND-0046,PLNT-09,2025-02-07,Primary Freight,3613,183.22,661973.86
PO-2024-00003,VEND-0046,PLNT-09,2025-02-07,Warehousing,4379,284.81,1247182.99
PO-2024-00003,VEND-0046,PLNT-09,2025-02-07,Primary Freight,4990,874.87,4365601.3
PO-2024-00004,VEND-0002,PLNT-02,2024-03-18,Mint Flavour,1186,125.59,148949.74
PO-2024-00005,VEND-0119,PLNT-07,2024-03-06,Housekeeping,3486,526.36,1834890.96
PO-2024-00005,VEND-0119,PLNT-07,2024-03-06,AMC-Machinery,2114,725.28,1533241.92
PO-2024-00005,VEND-0119,PLNT-07,2024-03-06,IT AMC,1038,646.14,670693.32
PO-2024-00005,VEND-0119,PLNT-07,2024-03-06,Security Services,467,124.9,58328.3
PO-2024-00006,VEND-0103,PLNT-04,2024-11-02,Security Services,4866,443.82,2159628.12
PO-2024-00006,VEND-0103,PLNT-04,2024-11-02,IT AMC,1539,599.27,922276.53
PO-2024-00007,VEND-0101,PLNT-09,2024-06-03,Milk Solids,173,503.24,87060.52
PO-2024-00007,VEND-0101,PLNT-09,2024-06-03,Menthol Crystals,783,102.46,80226.18
PO-2024-00008,VEND-0038,PLNT-10,2025-02-08,Corrugated Box,871,840.26,731866.46
PO-2024-00008,VEND-0038,PLNT-10,2025-02-08,Wrapper Film,3000,725.49,2176470.0
PO-2024-00008,VEND-0038,PLNT-10,2025-02-08,Shrink Sleeve,2188,708.01,1549125.88
PO-2024-00008,VEND-0038,PLNT-10,2025-02-08,Wrapper Film,2363,23.91,56499.33
PO-2024-00009,VEND-0117,PLNT-01,2024-05-15,AMC-Machinery,1704,548.57,934763.28
PO-2024-00010,VEND-0113,PLNT-01,2025-02-10,Glucose Syrup,638,387.89,247473.82
PO-2024-00010,VEND-0113,PLNT-01,2025-02-10,Milk Solids,1902,589.52,1121267.04
PO-2024-00011,VEND-0039,PLNT-08,2024-09-02,Corrugated Box,1221,673.44,822270.24
PO-2024-00011,VEND-0039,PLNT-08,2024-09-02,Mono Carton,4212,101.91,429244.92
PO-2024-00012,VEND-0031,PLNT-11,2024-09-13,Permitted Colour,1001,284.82,285104.82
PO-2024-00013,VEND-0096,PLNT-02,2025-05-09,IT AMC,821,145.02,119061.42
PO-2024-00014,VEND-0078,PLNT-13,2024-10-18,IT AMC,1014,55.62,56398.68
PO-2024-00015,VEND-0046,PLNT-02,2024-10-05,Warehousing,4149,458.04,1900407.96
