vendor_code,vendor_name,vendor_kind,gstin,payment_terms,state
VEND-0001,Deshpande Enterprises,Raw Material,05SYN7964D1Z5,Net 45,Karnataka
VEND-0002,Pillai Logistics,Ingredients,17SYN4896A1Z7,Net 30,Uttar Pradesh
VEND-0003,Menon Industries,Packaging,05SYN7275D1Z1,Advance,Kerala
VEND-0004,Malhotra Foods,Ingredients,05SYN5737A1Z8,Net 45,Rajasthan
VEND-0005,Rao Foods,Logistics,27SYN7849F1Z6,Net 30,Haryana
VEND-0006,Chauhan Enterprises,Raw Material,29SYN5618E1Z1,Net 30,Maharashtra
VEND-0007,Naidu Enterprises,Services,31SYN5053F1Z4,Net 45,Delhi
VEND-0008,Gupta Foods,Packaging,14SYN2642D1Z8,Net 30,Rajasthan
VEND-0009,Reddy Enterprises,Services,29SYN6794F1Z3,Net 45,West Bengal
VEND-0010,Naidu Packaging,Ingredients,30SYN5908D1Z3,Net 45,Goa
VEND-0011,Patel Packaging,Logistics,17SYN3044F1Z0,Net 30,Karnataka
VEND-0012,Shah Industries,Logistics,21SYN8990D1Z0,Net 60,Kerala
VEND-0013,Nair Enterprises,Services,32SYN8447C1Z2,Net 45,Chhattisgarh
VEND-0014,Yadav Agro,Ingredients,24SYN2486G1Z6,Net 60,Tamil Nadu
VEND-0015,Gupta Foods,Ingredients,26SYN4190A1Z0,Net 30,Tamil Nadu
VEND-0016,Gupta Logistics,Services,35SYN5010G1Z8,Advance,Chhattisgarh
VEND-0017,Ahmed Packaging,Ingredients,25SYN8004B1Z6,Net 60,West Bengal
VEND-0018,Reddy Logistics,Logistics,08SYN4274A1Z4,Net 60,Madhya Pradesh
VEND-0019,Chauhan Packaging,Ingredients,19SYN1394E1Z4,Net 45,Telangana
VEND-0020,Joshi Agro,Packaging,07SYN7689A1Z6,Net 60,Maharashtra
VEND-0021,Yadav Foods,Raw Material,34SYN7702E1Z3,Net 45,Uttar Pradesh
VEND-0022,Gupta Packaging,Ingredients,35SYN4697H1Z2,Net 30,Madhya Pradesh
VEND-0023,Naidu Traders,Packaging,33SYN4333E1Z0,Advance,Tamil Nadu
VEND-0024,Ahmed Packaging,Logistics,18SYN8160F1Z1,Advance,Chhattisgarh
VEND-0025,Patel Industries,Raw Material,18SYN2169F1Z6,Net 30,Madhya Pradesh
VEND-0026,Sharma Industries,Ingredients,18SYN3971A1Z2,Net 45,Delhi
VEND-0027,Mukherjee Traders,Logistics,21SYN7027E1Z8,Advance,Tamil Nadu
VEND-0028,Chatterjee Traders,Ingredients,17SYN2446H1Z7,Advance,Karnataka
VEND-0029,Kaur Logistics,Raw Material,24SYN7301G1Z0,Advance,Delhi
VEND-0030,Deshpande Enterprises,Raw Material,12SYN7909B1Z7,Net 45,Tamil Nadu
VEND-0031,Nair Logistics,Ingredients,17SYN8242C1Z7,Net 60,Gujarat
VEND-0032,Malhotra Foods,Raw Material,15SYN9081B1Z2,Net 30,Madhya Pradesh
VEND-0033,Reddy Logistics,Raw Material,10SYN7141H1Z5,Advance,Kerala
VEND-0034,Das Industries,Raw Material,06SYN8493G1Z1,Net 60,Rajasthan
VEND-0035,Ahmed Packaging,Services,30SYN1066H1Z7,Net 45,Telangana
VEND-0036,Pillai Packaging,Packaging,29SYN8022A1Z5,Net 60,Delhi
VEND-0037,Mukherjee Foods,Ingredients,18SYN7345C1Z2,Net 30,Madhya Pradesh
VEND-0038,Menon Industries,Packaging,29SYN6000D1Z4,Advance,Uttarakhand
VEND-0039,Menon Industries,Packaging,19SYN6118B1Z0,Advance,Chhattisgarh
VEND-0040,Ahmed Packaging,Logistics,06SYN3209F1Z1,Net 45,Bihar
VEND-0041,Banerjee Enterprises,Packaging,17SYN7014B1Z5,Net 30,Maharashtra
VEND-0042,Rao Agro,Raw Material,18SYN8694E1Z5,Net 45,West Bengal
VEND-0043,Mehta Traders,Packaging,04SYN7884H1Z5,Net 60,Madhya Pradesh
VEND-0044,Mishra Packaging,Ingredients,24SYN6087B1Z4,Net 45,West Bengal
VEND-0045,Nair Enterprises,Raw Material,05SYN6032E1Z7,Net 45,Odisha
VEND-0046,Chatterjee Enterprises,Logistics,12SYN6424A1Z0,Net 30,Rajasthan
VEND-0047,Singh Foods,Raw Material,14SYN4930C1Z8,Net 60,Kerala
VEND-0048,Naidu Industries,Ingredients,09SYN3488B1Z3,Net 30,Karnataka
VEND-0049,Naidu Traders,Logistics,36SYN8679G1Z0,Net 45,Punjab
