invoice_no,issue_type,detail
INV/000008,date_anomaly,invoice dated before PO
INV/000011,qty_variance,GRN qty -15.0% vs invoice
INV/000016,missing_grn,no GRN — goods not received
INV/000026,missing_grn,no GRN — goods not received
INV/000032,qty_variance,GRN qty -15.0% vs invoice
INV/000038,price_mismatch,invoice rate 16.9% above PO
INV/000042,missing_grn,no GRN — goods not received
INV/000061,tax_error,GST charged 18% vs correct 18%
INV/000063,price_mismatch,invoice rate 12.4% above PO
INV/000075,qty_variance,GRN qty -15.0% vs invoice
INV/000079,missing_grn,no GRN — goods not received
INV/000091,duplicate,duplicate
INV/000091-D,duplicate,duplicate of INV/000091
INV/000099,date_anomaly,invoice dated before PO
INV/000113,duplicate,duplicate
INV/000113-D,duplicate,duplicate of INV/000113
INV/000120,qty_variance,GRN qty -15.0% vs invoice
INV/000161,duplicate,duplicate
INV/000161-D,duplicate,duplicate of INV/000161
INV/000165,gstin_invalid,malformed GSTIN
INV/000170,duplicate,duplicate
INV/000170-D,duplicate,duplicate of INV/000170
INV/000173,missing_grn,no GRN — goods not received
INV/000174,price_mismatch,invoice rate 7.3% above PO
INV/000175,duplicate,duplicate
INV/000175-D,duplicate,duplicate of INV/000175
INV/000181,gstin_invalid,malformed GSTIN
INV/000188,duplicate,duplicate
INV/000188-D,duplicate,duplicate of INV/000188
INV/000201,gstin_invalid,malformed GSTIN
INV/000220,duplicate,duplicate
INV/000220-D,duplicate,duplicate of INV/000220
INV/000226,date_anomaly,invoice dated before PO
INV/000228,price_mismatch,invoice rate 14.8% above PO
INV/000229,gstin_invalid,malformed GSTIN
INV/000237,date_anomaly,invoice dated before PO
INV/000239,gstin_invalid,malformed GSTIN
INV/000244,qty_variance,GRN qty -15.0% vs invoice
INV/000256,qty_variance,GRN qty 20.0% vs invoice
INV/000263,tax_error,GST charged 12% vs correct 18%
INV/000275,qty_variance,GRN qty 20.0% vs invoice
INV/000279,date_anomaly,invoice dated before PO
INV/000288,price_mismatch,invoice rate 13.0% above PO
INV/000304,date_anomaly,invoice dated before PO
INV/000309,duplicate,duplicate
INV/000309-D,duplicate,duplicate of INV/000309
INV/000330,tax_error,GST charged 5% vs correct 18%
INV/000334,qty_variance,GRN qty -20.0% vs invoice
INV/000351,qty_variance,GRN qty -15.0% vs invoice
INV/000359,missing_grn,no GRN — goods not received
INV/000373,missing_grn,no GRN — goods not received
INV/000379,price_mismatch,invoice rate 16.4% above PO
INV/000381,price_mismatch,invoice rate 24.7% above PO
INV/000399,missing_grn,no GRN — goods not received
INV/000413,gstin_invalid,malformed GSTIN
INV/000420,gstin_invalid,malformed GSTIN
INV/000422,gstin_invalid,malformed GSTIN
INV/000426,qty_variance,GRN qty 15.0% vs invoice
INV/000434,price_mismatch,invoice rate 23.6% above PO
INV/000435,price_mismatch,invoice rate 10.5% above PO
INV/000448,price_mismatch,invoice rate 21.9% above PO
INV/000449,missing_grn,no GRN — goods not received
INV/000451,duplicate,duplicate
INV/000451-D,duplicate,duplicate of INV/000451
INV/000471,date_anomaly,invoice dated before PO
INV/000493,qty_variance,GRN qty 20.0% vs invoice
INV/000498,gstin_invalid,malformed GSTIN
INV/000506,date_anomaly,invoice dated before PO
INV/000519,tax_error,GST charged 5% vs correct 12%
INV/000543,tax_error,GST charged 18% vs correct 5%
INV/000547,gstin_invalid,malformed GSTIN
INV/000566,duplicate,duplicate
INV/000566-D,duplicate,duplicate of INV/000566
INV/000568,tax_error,GST charged 12% vs correct 18%
INV/000573,qty_variance,GRN qty -20.0% vs invoice
INV/000585,missing_grn,no GRN — goods not received
INV/000608,qty_variance,GRN qty 20.0% vs invoice
INV/000610,price_mismatch,invoice rate 17.1% above PO
INV/000618,missing_grn,no GRN — goods not received
INV/000622,missing_grn,no GRN — goods not received
INV/000631,gstin_invalid,malformed GSTIN
INV/000638,qty_variance,GRN qty 15.0% vs invoice
INV/000657,price_mismatch,invoice rate 17.0% above PO
INV/000660,duplicate,duplicate
INV/000660-D,duplicate,duplicate of INV/000660
INV/000666,qty_variance,GRN qty 20.0% vs invoice
INV/000688,price_mismatch,invoice rate 15.1% above PO
INV/000691,date_anomaly,invoice dated before PO
INV/000697,qty_variance,GRN qty -15.0% vs invoice
INV/000719,missing_grn,no GRN — goods not received
INV/000726,date_anomaly,invoice dated before PO
INV/000727,tax_error,GST charged 5% vs correct 5%
INV/000748,qty_variance,GRN qty 15.0% vs invoice
INV/000754,duplicate,duplicate
INV/000754-D,duplicate,duplicate of INV/000754
INV/000760,missing_grn,no GRN — goods not received
INV/000794,qty_variance,GRN qty -20.0% vs invoice
INV/000801,qty_variance,GRN qty -20.0% vs invoice
INV/000805,qty_variance,GRN qty 20.0% vs invoice
INV/000811,gstin_invalid,malformed GSTIN
INV/000816,duplicate,duplicate
INV/000816-D,duplicate,duplicate of INV/000816
INV/000835,date_anomaly,invoice dated before PO
INV/000838,qty_variance,GRN qty -15.0% vs invoice
INV/000860,duplicate,duplicate
INV/000860-D,duplicate,duplicate of INV/000860
INV/000869,qty_variance,GRN qty -15.0% vs invoice
INV/000876,duplicate,duplicate
INV/000876-D,duplicate,duplicate of INV/000876
INV/000884,duplicate,duplicate
INV/000884-D,duplicate,duplicate of INV/000884
INV/000903,duplicate,duplicate
INV/000903-D,duplicate,duplicate of INV/000903
INV/000914,date_anomaly,invoice dated before PO
INV/000915,duplicate,duplicate
INV/000915-D,duplicate,duplicate of INV/000915
INV/000919,gstin_invalid,malformed GSTIN
INV/000927,price_mismatch,invoice rate 9.7% above PO
INV/000933,qty_variance,GRN qty -15.0% vs invoice
INV/000968,price_mismatch,invoice rate 13.4% above PO
INV/000992,price_mismatch,invoice rate 6.2% above PO
INV/000994,gstin_invalid,malformed GSTIN
INV/001007,tax_error,GST charged 12% vs correct 12%
INV/001016,price_mismatch,invoice rate 10.8% above PO
INV/001018,date_anomaly,invoice dated before PO
INV/001026,gstin_invalid,malformed GSTIN
INV/001027,gstin_invalid,malformed GSTIN
INV/001048,duplicate,duplicate
INV/001048-D,duplicate,duplicate of INV/001048
INV/001053,price_mismatch,invoice rate 4.9% above PO
INV/001056,missing_grn,no GRN — goods not received
INV/001084,duplicate,duplicate
INV/001084-D,duplicate,duplicate of INV/001084
INV/001098,duplicate,duplicate
INV/001098-D,duplicate,duplicate of INV/001098
INV/001115,qty_variance,GRN qty 20.0% vs invoice
INV/001117,tax_error,GST charged 12% vs correct 18%
INV/001118,missing_grn,no GRN — goods not received
