emp_id,department,sub_function,band,tenure_years,attrition_month,attrition_reason
EMP-00001,Manufacturing,Quality,M3,2.1,2025-02-23,low performance rating
EMP-00005,Finance,FP&A,M1,1.6,2025-11-07,below-band pay
EMP-00009,Manufacturing,Quality,M1,1.0,2025-06-16,low engagement
EMP-00011,IT,Applications,M2,1.2,2025-09-26,below-band pay
EMP-00014,Manufacturing,Maintenance,M4,2.2,2025-11-11,low engagement
EMP-00016,Finance,Controllership,M1,4.5,2025-03-20,low engagement
EMP-00041,Marketing,Brand,M2,4.8,2025-05-12,low engagement
EMP-00044,Sales,Key Accounts,M2,2.0,2025-07-07,low performance rating
EMP-00048,IT,Applications,M1,4.1,2025-08-21,low performance rating
EMP-00052,R&D,Packaging Dev,M1,1.8,2025-02-27,low engagement
EMP-00054,R&D,Packaging Dev,M3,1.1,2025-09-07,low engagement
EMP-00058,Finance,Controllership,M2,1.3,2025-05-09,low engagement
EMP-00064,HR,Payroll,M3,7.9,2025-01-10,low engagement
EMP-00067,Supply Chain,Logistics,M2,2.4,2025-10-13,below-band pay
EMP-00086,Sales,Key Accounts,M1,0.3,2025-04-20,long commute
EMP-00095,Legal,Compliance,M2,10.1,2025-12-03,low engagement
EMP-00096,IT,Infrastructure,M3,1.1,2025-12-28,below-band pay
EMP-00104,HR,HRBP,M5,2.7,2025-10-04,below-band pay
EMP-00105,R&D,Product Dev,M3,4.4,2025-10-11,low performance rating
EMP-00107,R&D,Packaging Dev,M2,0.4,2025-05-03,low performance rating
EMP-00112,Customer Service,Distributor Care,M1,3.1,2025-10-26,low engagement
EMP-00114,Manufacturing,Production,M2,2.4,2025-09-16,low engagement
EMP-00118,Supply Chain,Warehouse,M3,4.8,2025-07-07,long commute
EMP-00128,Customer Service,Distributor Care,M1,3.3,2025-06-26,low engagement
EMP-00129,Sales,Field Sales,M1,3.8,2025-02-21,long commute
EMP-00132,HR,HRBP,M5,6.6,2025-05-17,below-band pay
EMP-00136,IT,Infrastructure,M1,0.2,2025-05-14,low performance rating
EMP-00142,Supply Chain,Warehouse,M2,1.6,2025-11-18,low engagement
EMP-00153,Customer Service,Consumer Care,M1,7.8,2025-06-07,low performance rating
EMP-00161,HR,HRBP,M1,8.1,2025-07-13,below-band pay
EMP-00168,Legal,Compliance,M4,1.0,2025-05-20,low engagement
EMP-00172,Supply Chain,Warehouse,M2,1.7,2025-09-15,low engagement
EMP-00188,Legal,Contracts,M1,2.8,2025-11-25,below-band pay
EMP-00189,Manufacturing,Production,M3,1.4,2025-09-06,below-band pay
EMP-00194,Sales,Field Sales,M4,1.2,2025-01-21,below-band pay
EMP-00200,Sales,Sales Ops,M2,3.8,2025-12-17,low performance rating
EMP-00212,Finance,Controllership,M3,2.9,2025-03-19,low engagement
EMP-00213,Customer Service,Distributor Care,M1,10.5,2025-08-07,low performance rating
EMP-00216,R&D,Packaging Dev,M3,4.7,2025-11-27,low performance rating
EMP-00225,Marketing,Digital,M1,15.4,2025-12-15,no recent promotion
EMP-00245,Finance,FP&A,M3,5.7,2025-05-21,low performance rating
