emp_id,manager_support,growth_opportunity,work_life_balance,recognition,pay_fairness,survey_month
EMP-00001,2.2,2.9,3.1,3.6,2.3,2025-06
EMP-00002,4.9,4.0,4.3,2.7,3.2,2025-06
EMP-00003,3.0,4.4,3.7,3.3,3.2,2025-06
EMP-00004,2.5,3.4,3.2,3.3,2.6,2025-06
EMP-00005,3.9,3.4,3.7,3.2,3.0,2025-06
EMP-00006,3.8,4.6,4.3,4.0,4.7,2025-06
EMP-00007,5.0,3.4,5.0,4.4,5.0,2025-06
EMP-00008,2.8,2.9,3.5,2.8,2.8,2025-06
EMP-00009,1.0,2.4,2.7,1.7,1.3,2025-06
EMP-00010,3.3,3.1,3.2,3.2,2.6,2025-06
EMP-00011,2.9,3.5,2.8,1.9,2.2,2025-06
EMP-00012,2.8,4.6,4.9,3.3,4.0,2025-06
EMP-00013,4.2,4.5,3.7,3.0,3.8,2025-06
EMP-00014,2.7,3.0,3.4,2.6,1.9,2025-06
EMP-00015,2.8,2.9,2.8,3.2,2.0,2025-06
EMP-00016,2.0,1.9,2.2,1.4,1.0,2025-06
EMP-00017,3.9,3.4,3.2,2.7,4.1,2025-06
EMP-00018,3.7,2.0,2.7,4.5,3.8,2025-06
EMP-00019,4.1,5.0,5.0,4.9,3.4,2025-06
EMP-00020,3.7,3.7,4.0,4.6,4.2,2025-06
EMP-00021,4.0,3.3,3.7,4.1,3.9,2025-06
EMP-00022,1.6,1.8,2.2,2.4,1.2,2025-06
EMP-00023,2.2,3.9,2.6,2.6,2.2,2025-06
EMP-00024,3.6,4.3,3.3,3.4,4.2,2025-06
EMP-00025,2.8,3.1,2.8,2.1,3.3,2025-06
EMP-00026,1.4,3.2,1.1,1.9,2.3,2025-06
EMP-00027,4.0,4.6,4.2,4.7,3.8,2025-06
EMP-00028,3.7,2.7,3.9,2.8,3.2,2025-06
EMP-00029,4.3,3.4,4.0,4.8,4.3,2025-06
EMP-00030,3.5,3.8,3.9,3.3,3.0,2025-06
EMP-00031,3.1,2.8,2.8,3.4,3.8,2025-06
EMP-00032,5.0,5.0,4.6,5.0,4.7,2025-06
EMP-00033,3.2,2.2,1.7,3.0,2.5,2025-06
EMP-00034,4.4,4.9,5.0,4.9,4.0,2025-06
EMP-00035,3.2,3.3,3.6,4.0,2.5,2025-06
EMP-00036,4.8,2.5,3.6,3.4,4.0,2025-06
EMP-00037,2.9,3.7,3.9,4.4,3.4,2025-06
EMP-00038,3.6,3.0,3.3,3.3,2.9,2025-06
EMP-00039,1.7,2.9,2.6,1.6,2.1,2025-06
EMP-00040,3.1,3.4,3.9,3.9,3.2,2025-06
EMP-00041,2.4,2.6,2.2,1.9,1.9,2025-06
EMP-00042,4.0,4.6,4.1,4.9,5.0,2025-06
EMP-00043,3.7,2.3,2.4,3.5,2.4,2025-06
EMP-00044,4.5,3.4,4.8,4.0,4.3,2025-06
EMP-00045,3.7,4.4,4.1,4.3,5.0,2025-06
EMP-00046,3.9,4.0,3.8,4.1,3.9,2025-06
EMP-00047,3.8,3.1,3.2,2.8,3.1,2025-06
EMP-00048,2.5,4.1,3.7,3.5,4.1,2025-06
EMP-00049,2.0,3.8,4.6,3.7,3.5,2025-06
EMP-00050,3.5,3.4,4.4,4.1,2.9,2025-06
EMP-00051,1.5,1.1,1.4,2.9,1.8,2025-06
EMP-00052,2.6,1.5,2.4,1.1,2.5,2025-06
EMP-00053,4.6,5.0,4.9,4.8,5.0,2025-06
EMP-00054,1.2,1.8,1.0,1.0,1.0,2025-06
EMP-00055,3.5,3.5,3.9,3.6,3.4,2025-06
EMP-00056,2.3,3.7,4.3,4.3,3.5,2025-06
EMP-00057,3.5,4.3,3.1,3.7,5.0,2025-06
EMP-00058,1.6,1.8,2.3,2.1,2.3,2025-06
EMP-00059,2.9,3.9,2.7,2.9,4.5,2025-06
EMP-00060,2.9,3.7,3.5,4.2,3.7,2025-06
EMP-00061,4.3,5.0,5.0,4.7,5.0,2025-06
