week_start,week_idx,month,quarter,festival,is_festive
2023-10-02,0,2023-10,2023-Q4,Diwali,1
2023-10-09,1,2023-10,2023-Q4,Diwali,1
2023-10-16,2,2023-10,2023-Q4,Diwali,1
2023-10-23,3,2023-10,2023-Q4,Diwali,1
2023-10-30,4,2023-10,2023-Q4,Diwali,1
2023-11-06,5,2023-11,2023-Q4,Diwali,1
2023-11-13,6,2023-11,2023-Q4,,0
2023-11-20,7,2023-11,2023-Q4,,0
2023-11-27,8,2023-11,2023-Q4,,0
2023-12-04,9,2023-12,2023-Q4,,0
2023-12-11,10,2023-12,2023-Q4,,0
2023-12-18,11,2023-12,2023-Q4,,0
2023-12-25,12,2023-12,2023-Q4,Christmas/NewYear,1
2024-01-01,13,2024-01,2024-Q1,,0
2024-01-08,14,2024-01,2024-Q1,,0
2024-01-15,15,2024-01,2024-Q1,,0
2024-01-22,16,2024-01,2024-Q1,,0
2024-01-29,17,2024-01,2024-Q1,,0
2024-02-05,18,2024-02,2024-Q1,,0
2024-02-12,19,2024-02,2024-Q1,,0
2024-02-19,20,2024-02,2024-Q1,,0
2024-02-26,21,2024-02,2024-Q1,,0
2024-03-04,22,2024-03,2024-Q1,Holi,1
2024-03-11,23,2024-03,2024-Q1,Holi,1
2024-03-18,24,2024-03,2024-Q1,Holi,1
2024-03-25,25,2024-03,2024-Q1,,0
2024-04-01,26,2024-04,2024-Q2,,0
2024-04-08,27,2024-04,2024-Q2,,0
2024-04-15,28,2024-04,2024-Q2,,0
2024-04-22,29,2024-04,2024-Q2,,0
2024-04-29,30,2024-04,2024-Q2,,0
2024-05-06,31,2024-05,2024-Q2,,0
2024-05-13,32,2024-05,2024-Q2,,0
2024-05-20,33,2024-05,2024-Q2,,0
2024-05-27,34,2024-05,2024-Q2,,0
2024-06-03,35,2024-06,2024-Q2,,0
2024-06-10,36,2024-06,2024-Q2,,0
2024-06-17,37,2024-06,2024-Q2,,0
2024-06-24,38,2024-06,2024-Q2,,0
2024-07-01,39,2024-07,2024-Q3,,0
2024-07-08,40,2024-07,2024-Q3,,0
2024-07-15,41,2024-07,2024-Q3,,0
2024-07-22,42,2024-07,2024-Q3,,0
2024-07-29,43,2024-07,2024-Q3,,0
2024-08-05,44,2024-08,2024-Q3,RakshaBandhan,1
2024-08-12,45,2024-08,2024-Q3,RakshaBandhan,1
2024-08-19,46,2024-08,2024-Q3,RakshaBandhan,1
2024-08-26,47,2024-08,2024-Q3,RakshaBandhan,1
2024-09-02,48,2024-09,2024-Q3,,0
2024-09-09,49,2024-09,2024-Q3,,0
2024-09-16,50,2024-09,2024-Q3,,0
2024-09-23,51,2024-09,2024-Q3,,0
2024-09-30,52,2024-09,2024-Q3,,0
2024-10-07,53,2024-10,2024-Q4,Diwali,1
2024-10-14,54,2024-10,2024-Q4,Diwali,1
2024-10-21,55,2024-10,2024-Q4,Diwali,1
2024-10-28,56,2024-10,2024-Q4,Diwali,1
2024-11-04,57,2024-11,2024-Q4,Diwali,1
2024-11-11,58,2024-11,2024-Q4,Diwali,1
2024-11-18,59,2024-11,2024-Q4,,0
