distributor_code,distributor_name,zone,state,town_class,size_index,gstin,onboarded_date,credit_limit_inr
DIST-0001,Rohan Rao Distributors,Central,Chhattisgarh,Tier-2,0.943,07SYN1464D1Z7,2019-05-23,4906219
DIST-0002,Karan Verma Distributors,North,Uttarakhand,Tier-2,0.477,30SYN3589A1Z7,2021-08-30,568990
DIST-0003,Farhan Mukherjee Distributors,North,Uttarakhand,Tier-1,1.455,35SYN9349A1Z1,2018-05-06,4276801
DIST-0004,Diya Gupta Distributors,Central,Madhya Pradesh,Metro,1.942,26SYN5018D1Z0,2020-05-01,1248375
DIST-0005,Manish Patel Distributors,West,Maharashtra,Metro,1.968,21SYN6669B1Z0,2017-11-05,2409269
DIST-0006,Navya Rao Distributors,West,Rajasthan,Tier-2,0.477,07SYN1477D1Z1,2023-02-08,1572566
DIST-0007,Ishaan Ahmed Distributors,East,Bihar,Tier-2,1.495,20SYN9820H1Z6,2019-05-10,2693772
DIST-0008,Aarav Banerjee Distributors,East,West Bengal,Metro,0.594,03SYN1039B1Z0,2021-10-28,4455484
DIST-0009,Imran Shah Distributors,Central,Madhya Pradesh,Tier-1,0.4,16SYN2557F1Z3,2022-08-18,3920189
DIST-0010,Neha Mehta Distributors,North,Uttar Pradesh,Tier-1,0.586,08SYN6327H1Z4,2019-10-15,3985180
DIST-0011,Sunita Malhotra Distributors,Central,Chhattisgarh,Metro,0.91,32SYN6151E1Z4,2022-04-17,1466960
DIST-0012,Navya Iyer Distributors,North,Uttar Pradesh,Metro,0.842,35SYN4764C1Z5,2019-10-27,3588946
DIST-0013,Rajesh Rao Distributors,East,Assam,Tier-2,0.847,17SYN9464D1Z1,2022-04-09,2469794
DIST-0014,Navya Yadav Distributors,East,Bihar,Metro,1.191,19SYN9222B1Z4,2022-05-23,860322
DIST-0015,Aditya Sharma Distributors,West,Rajasthan,Tier-2,1.035,35SYN3502C1Z0,2021-04-15,3189080
DIST-0016,Kavya Naidu Distributors,East,Odisha,Rural,1.181,16SYN4606A1Z5,2017-02-01,2235511
DIST-0017,Rohan Naidu Distributors,North,Delhi,Metro,0.659,31SYN2958F1Z8,2019-07-02,3127394
DIST-0018,Deepak Nair Distributors,Central,Madhya Pradesh,Metro,0.795,13SYN3687E1Z3,2020-03-14,2528423
DIST-0019,Priya Rao Distributors,East,West Bengal,Tier-1,1.738,05SYN6151B1Z3,2019-08-23,3071657
DIST-0020,Sunita Deshpande Distributors,East,Bihar,Tier-1,0.867,26SYN6283D1Z5,2019-04-28,1786206
DIST-0021,Vikram Sharma Distributors,South,Tamil Nadu,Tier-1,0.844,13SYN5941F1Z1,2020-06-27,2789419
DIST-0022,Myra Reddy Distributors,West,Gujarat,Metro,3.665,23SYN9654G1Z4,2018-02-11,3762516
DIST-0023,Aarohi Rao Distributors,North,Haryana,Rural,1.047,06SYN9288F1Z7,2020-01-13,3746942
DIST-0024,Aarohi Sharma Distributors,East,Odisha,Tier-1,0.677,20SYN3213G1Z2,2019-12-08,4235697
DIST-0025,Arjun Joshi Distributors,East,Assam,Tier-2,1.395,32SYN8577F1Z7,2022-11-09,664931
DIST-0026,Karan Singh Distributors,Central,Chhattisgarh,Metro,1.255,11SYN5387B1Z1,2018-08-09,1775298
DIST-0027,Sneha Shah Distributors,East,Odisha,Metro,0.4,33SYN1132B1Z3,2017-12-30,3618974
DIST-0028,Priya Deshpande Distributors,Central,Chhattisgarh,Tier-2,1.978,31SYN7381G1Z1,2021-09-12,3123949
DIST-0029,Pooja Yadav Distributors,Central,Madhya Pradesh,Tier-1,0.472,19SYN4283E1Z4,2017-03-03,660069
DIST-0030,Aarav Mukherjee Distributors,North,Haryana,Tier-1,1.243,36SYN4819F1Z2,2018-05-09,3532025
DIST-0031,Amit Menon Distributors,West,Maharashtra,Tier-2,0.458,28SYN4490B1Z8,2019-03-03,1868053
DIST-0032,Vikram Singh Distributors,East,Assam,Rural,1.485,02SYN7807E1Z4,2020-04-07,1069631
DIST-0033,Aadhya Bose Distributors,Central,Madhya Pradesh,Rural,0.709,16SYN8525C1Z8,2016-12-22,4802656
DIST-0034,Sanjay Naidu Distributors,Central,Chhattisgarh,Metro,0.642,21SYN8213E1Z8,2019-02-08,965500
DIST-0035,Deepak Malhotra Distributors,East,Odisha,Tier-2,2.018,31SYN4532H1Z2,2022-09-13,4226645
DIST-0036,Saanvi Mukherjee Distributors,West,Goa,Rural,1.138,28SYN5316C1Z4,2017-06-02,1008162
DIST-0037,Imran Ahmed Distributors,North,Punjab,Tier-2,0.625,10SYN9163B1Z8,2022-12-04,3270831
DIST-0038,Aarohi Malhotra Distributors,South,Telangana,Tier-1,1.375,10SYN2749C1Z4,2016-12-08,3056292
DIST-0039,Anika Chatterjee Distributors,North,Delhi,Metro,0.302,02SYN1756H1Z2,2021-09-02,4250723
DIST-0040,Pooja Chatterjee Distributors,West,Gujarat,Rural,1.132,31SYN6005D1Z5,2020-08-23,3449955
DIST-0041,Reyansh Joshi Distributors,South,Karnataka,Rural,0.923,23SYN1522D1Z6,2020-11-23,3795236
DIST-0042,Vihaan Naidu Distributors,South,Kerala,Tier-1,1.393,20SYN9381B1Z7,2021-02-13,2568090
DIST-0043,Meera Ahmed Distributors,West,Gujarat,Tier-2,1.16,26SYN8667H1Z3,2020-01-10,2325064
DIST-0044,Simran Banerjee Distributors,Central,Chhattisgarh,Tier-1,0.686,33SYN2081H1Z7,2020-10-14,1900776
DIST-0045,Anika Kapoor Distributors,West,Rajasthan,Tier-2,0.641,02SYN4586H1Z8,2017-06-06,3256204
DIST-0046,Kavya Gupta Distributors,South,Telangana,Tier-2,0.682,24SYN1076D1Z3,2021-03-19,1200534
DIST-0047,Rahul Yadav Distributors,East,Assam,Metro,0.923,23SYN9346C1Z6,2020-05-20,2275260
DIST-0048,Pooja Kulkarni Distributors,South,Tamil Nadu,Tier-1,0.485,12SYN6098D1Z0,2020-08-03,1606703
DIST-0049,Vikram Singh Distributors,North,Haryana,Rural,0.638,20SYN6703G1Z6,2017-01-08,4072984
DIST-0050,Vikram Das Distributors,North,Uttar Pradesh,Metro,1.866,23SYN9861G1Z6,2019-02-08,4545640
DIST-0051,Priya Mehta Distributors,West,Maharashtra,Rural,0.3,11SYN9667G1Z5,2018-04-13,2465467
DIST-0052,Zoya Patel Distributors,Central,Madhya Pradesh,Tier-2,1.429,32SYN5563G1Z6,2018-02-09,2368416
DIST-0053,Pooja Singh Distributors,West,Maharashtra,Rural,0.658,35SYN6886C1Z3,2017-02-05,804089
DIST-0054,Sunita Naidu Distributors,West,Gujarat,Metro,1.133,36SYN8392G1Z6,2017-02-04,3824922
DIST-0055,Sai Khan Distributors,Central,Madhya Pradesh,Rural,0.809,02SYN2114C1Z2,2022-12-12,2688444
DIST-0056,Vihaan Shah Distributors,West,Gujarat,Rural,0.771,29SYN8874F1Z8,2017-10-16,2485375
DIST-0057,Rahul Singh Distributors,South,Kerala,Rural,0.412,10SYN4703E1Z0,2018-03-17,3354234
DIST-0058,Sai Chatterjee Distributors,West,Rajasthan,Metro,0.731,04SYN5863A1Z7,2021-07-12,4646097
DIST-0059,Arjun Joshi Distributors,East,Odisha,Metro,1.464,10SYN1332A1Z0,2020-11-09,4779819
DIST-0060,Vivaan Menon Distributors,South,Tamil Nadu,Tier-1,0.596,03SYN9383D1Z6,2018-05-27,3652313
DIST-0061,Krishna Pillai Distributors,South,Kerala,Tier-1,1.25,02SYN8788H1Z6,2018-07-20,2149151
DIST-0062,Ananya Menon Distributors,East,Assam,Metro,1.128,30SYN9169C1Z2,2022-07-25,3222919
DIST-0063,Sneha Sharma Distributors,East,West Bengal,Tier-2,0.802,17SYN1040G1Z8,2019-12-19,1535993
DIST-0064,Arjun Pillai Distributors,West,Gujarat,Tier-1,1.266,25SYN7836B1Z3,2018-10-19,4509483
DIST-0065,Manish Malhotra Distributors,East,West Bengal,Metro,1.976,10SYN3138F1Z3,2017-11-01,2763706
DIST-0066,Neha Gupta Distributors,Central,Chhattisgarh,Tier-2,3.577,14SYN9121A1Z2,2018-09-26,3074505
DIST-0067,Reyansh Bose Distributors,West,Goa,Tier-2,0.856,06SYN3473H1Z4,2017-08-15,4371805
DIST-0068,Diya Deshpande Distributors,South,Kerala,Tier-2,1.336,08SYN7074H1Z3,2020-05-16,3672903
DIST-0069,Sneha Shah Distributors,West,Goa,Tier-2,1.418,20SYN9987D1Z5,2021-05-04,3943851
DIST-0070,Kavya Patel Distributors,North,Punjab,Rural,0.931,16SYN2073G1Z5,2022-01-11,4988626
DIST-0071,Zoya Chauhan Distributors,East,West Bengal,Tier-2,0.53,27SYN6356C1Z0,2020-09-25,2630267
DIST-0072,Priya Malhotra Distributors,West,Gujarat,Tier-2,2.519,34SYN4096F1Z1,2022-07-23,2017278
DIST-0073,Simran Sharma Distributors,East,Assam,Tier-1,0.576,14SYN2817B1Z4,2023-02-04,1718519
DIST-0074,Zoya Naidu Distributors,South,Kerala,Tier-1,1.093,17SYN8925H1Z3,2020-05-16,2275794
DIST-0075,Vivaan Gupta Distributors,West,Goa,Tier-2,0.429,35SYN7766D1Z4,2019-10-20,4908397
DIST-0076,Riya Ahmed Distributors,West,Gujarat,Tier-2,0.96,11SYN4476H1Z2,2019-09-04,1829110
DIST-0077,Deepak Deshpande Distributors,Central,Chhattisgarh,Tier-2,1.273,12SYN5765F1Z8,2018-07-13,1313448
DIST-0078,Riya Shah Distributors,West,Rajasthan,Tier-1,1.146,22SYN1225B1Z2,2017-10-28,1434448
DIST-0079,Krishna Deshpande Distributors,South,Telangana,Tier-1,1.519,08SYN2398D1Z3,2017-09-13,307214
DIST-0080,Myra Deshpande Distributors,South,Kerala,Tier-2,1.234,11SYN3255B1Z7,2019-07-10,3983973
DIST-0081,Aarohi Kaur Distributors,South,Telangana,Tier-1,1.504,32SYN5285E1Z8,2016-12-10,3068400
DIST-0082,Ishaan Shah Distributors,North,Uttarakhand,Metro,0.804,25SYN5232A1Z1,2022-02-16,2942202
DIST-0083,Ishaan Khan Distributors,Central,Chhattisgarh,Rural,2.115,16SYN6875B1Z2,2017-03-10,3963872
DIST-0084,Kiara Chatterjee Distributors,North,Uttarakhand,Rural,0.884,19SYN2256H1Z0,2017-04-19,4810940
DIST-0085,Vihaan Shah Distributors,East,Odisha,Rural,0.661,12SYN1369B1Z0,2021-08-28,2989066
DIST-0086,Zoya Gupta Distributors,North,Haryana,Metro,0.633,04SYN3374C1Z4,2018-03-25,1769078
