sku,brand,category,pack,mrp,unit_cost,unit_margin,launch_week,cat_true_elasticity
FMCG-CONF-001,FruitPop,Confectionery,18g,12.0,6.72,5.28,,0.63
FMCG-CONF-002,FrostMint,Confectionery,200g,11.0,5.21,5.79,,0.63
FMCG-CONF-003,FrostMint,Confectionery,100g,12.0,7.76,4.24,,0.63
FMCG-CONF-004,FrostMint,Confectionery,18g,7.0,3.8,3.2,,0.63
FMCG-CONF-005,FruitPop,Confectionery,6-pack,10.0,6.56,3.44,,0.63
FMCG-CONF-006,FrostMint,Confectionery,pouch,4.0,2.35,1.65,2025-04-28,0.63
FMCG-CONF-007,ChocoLuv,Confectionery,10g,10.0,6.4,3.6,,0.63
FMCG-CONF-008,FrostMint,Confectionery,18g,15.0,10.1,4.9,,0.63
FMCG-CONF-009,FrostMint,Confectionery,100g,4.0,2.27,1.73,2025-04-21,0.63
FMCG-CONF-010,FruitPop,Confectionery,pouch,3.0,1.86,1.14,,0.63
FMCG-CONF-011,FrostMint,Confectionery,6-pack,15.0,7.97,7.03,,0.63
FMCG-CONF-012,FrostMint,Confectionery,6-pack,8.0,3.98,4.02,,0.63
FMCG-CONF-013,ChocoLuv,Confectionery,100g,8.0,4.05,3.95,,0.63
FMCG-CONF-014,ChocoLuv,Confectionery,pouch,7.0,4.61,2.39,,0.63
FMCG-CONF-015,ChocoLuv,Confectionery,10g,5.0,3.29,1.71,,0.63
FMCG-CONF-016,FrostMint,Confectionery,500ml,6.0,3.13,2.87,,0.63
FMCG-CONF-017,ChocoLuv,Confectionery,200g,3.0,1.5,1.5,2025-04-07,0.63
FMCG-CONF-018,FrostMint,Confectionery,100g,10.0,6.26,3.74,,0.63
FMCG-CONF-019,ChocoLuv,Confectionery,18g,7.0,4.15,2.85,,0.63
FMCG-CONF-020,FrostMint,Confectionery,500ml,3.0,1.85,1.15,,0.63
FMCG-CONF-021,FrostMint,Confectionery,250ml,9.0,5.77,3.23,,0.63
FMCG-CONF-022,ChocoLuv,Confectionery,pouch,9.0,5.31,3.69,,0.63
FMCG-CONF-023,ChocoLuv,Confectionery,10g,1.0,0.56,0.44,,0.63
FMCG-CONF-024,FruitPop,Confectionery,1L,7.0,4.64,2.36,,0.63
FMCG-CONF-025,FruitPop,Confectionery,18g,2.0,1.04,0.96,,0.63
FMCG-CONF-026,ChocoLuv,Confectionery,18g,10.0,5.89,4.11,,0.63
FMCG-CONF-027,FruitPop,Confectionery,200g,10.0,5.52,4.48,,0.63
FMCG-CONF-028,FruitPop,Confectionery,pouch,3.0,1.37,1.63,2025-04-07,0.63
FMCG-CONF-029,ChocoLuv,Confectionery,pouch,11.0,6.22,4.78,,0.63
FMCG-CONF-030,FrostMint,Confectionery,18g,8.0,3.9,4.1,,0.63
FMCG-MOUT-031,MouthRaj,MouthFreshener,100g,54.0,29.44,24.56,,0.55
FMCG-MOUT-032,FreshPan,MouthFreshener,18g,76.0,41.07,34.93,2024-11-04,0.55
FMCG-MOUT-033,MouthRaj,MouthFreshener,18g,115.0,77.87,37.13,,0.55
FMCG-MOUT-034,FreshPan,MouthFreshener,200g,33.0,22.85,10.15,,0.55
FMCG-MOUT-035,FreshPan,MouthFreshener,250ml,86.0,48.36,37.64,,0.55
FMCG-MOUT-036,MouthRaj,MouthFreshener,250ml,12.0,8.11,3.89,,0.55
FMCG-MOUT-037,FreshPan,MouthFreshener,100g,25.0,13.16,11.84,,0.55
FMCG-MOUT-038,SilverElaichi,MouthFreshener,200g,22.0,14.61,7.39,,0.55
FMCG-MOUT-039,SilverElaichi,MouthFreshener,18g,87.0,48.55,38.45,,0.55
FMCG-MOUT-040,SilverElaichi,MouthFreshener,50g,71.0,43.48,27.52,2024-08-12,0.55
FMCG-MOUT-041,SilverElaichi,MouthFreshener,100g,50.0,23.02,26.98,,0.55
FMCG-MOUT-042,MouthRaj,MouthFreshener,1L,40.0,19.45,20.55,,0.55
FMCG-MOUT-043,FreshPan,MouthFreshener,200g,71.0,34.98,36.02,,0.55
FMCG-MOUT-044,SilverElaichi,MouthFreshener,6-pack,70.0,37.57,32.43,,0.55
FMCG-MOUT-045,MouthRaj,MouthFreshener,250ml,4.0,2.76,1.24,,0.55
FMCG-MOUT-046,MouthRaj,MouthFreshener,100g,94.0,44.24,49.76,,0.55
FMCG-MOUT-047,MouthRaj,MouthFreshener,250ml,59.0,40.38,18.62,,0.55
FMCG-MOUT-048,FreshPan,MouthFreshener,200g,57.0,29.45,27.55,,0.55
FMCG-MOUT-049,MouthRaj,MouthFreshener,100g,63.0,35.26,27.74,2024-11-11,0.55
FMCG-MOUT-050,SilverElaichi,MouthFreshener,250ml,108.0,52.39,55.61,,0.55
FMCG-MOUT-051,MouthRaj,MouthFreshener,1L,14.0,8.65,5.35,,0.55
FMCG-MOUT-052,FreshPan,MouthFreshener,1L,79.0,49.91,29.09,,0.55
FMCG-MOUT-053,MouthRaj,MouthFreshener,200g,14.0,9.51,4.49,,0.55
FMCG-MOUT-054,MouthRaj,MouthFreshener,100g,5.0,2.94,2.06,,0.55
FMCG-MOUT-055,SilverElaichi,MouthFreshener,6-pack,100.0,65.21,34.79,,0.55
FMCG-MOUT-056,SilverElaichi,MouthFreshener,200g,114.0,59.59,54.41,,0.55
FMCG-MOUT-057,SilverElaichi,MouthFreshener,pouch,31.0,21.2,9.8,,0.55
FMCG-MOUT-058,FreshPan,MouthFreshener,pouch,6.0,3.35,2.65,,0.55
FMCG-BEVE-059,AquaFresh,Beverages,250ml,81.0,51.61,29.39,,1.33
FMCG-BEVE-060,ZingCola,Beverages,50g,81.0,46.96,34.04,,1.33
FMCG-BEVE-061,MangoDew,Beverages,1L,72.0,44.31,27.69,,1.33
FMCG-BEVE-062,ZingCola,Beverages,10g,18.0,11.46,6.54,,1.33
FMCG-BEVE-063,ZingCola,Beverages,50g,85.0,43.37,41.63,,1.33
