promo_id,sku,category,promo_type,depth,incremental_units,incremental_margin_inr,spend_inr,roi
PROMO-0001,FMCG-MOUT-039,MouthFreshener,trade,0.2,1264,48605.0,164092.0,0.3
PROMO-0002,FMCG-SPIC-128,Spices,festival,0.05,981,21858.0,77571.0,0.28
PROMO-0003,FMCG-SNAC-114,Snacks,trade,0.1,1362,37806.0,283405.0,0.13
PROMO-0004,FMCG-CONF-018,Confectionery,trade,0.08,850,3180.0,12144.0,0.26
PROMO-0005,FMCG-BEVE-072,Beverages,trade,0.2,2846,18104.0,200010.0,0.09
PROMO-0006,FMCG-CONF-010,Confectionery,festival,0.2,421,480.0,27581.0,0.02
PROMO-0007,FMCG-DAIR-094,Dairy,trade,0.15,633,25140.0,718244.0,0.04
PROMO-0008,FMCG-CONF-021,Confectionery,consumer,0.15,2335,7543.0,17940.0,0.42
PROMO-0009,FMCG-MOUT-053,MouthFreshener,trade,0.05,1207,5420.0,7664.0,0.71
PROMO-0010,FMCG-SNAC-104,Snacks,trade,0.05,2798,29305.0,51976.0,0.56
PROMO-0011,FMCG-DAIR-087,Dairy,festival,0.08,563,6662.0,69521.0,0.1
PROMO-0012,FMCG-MOUT-038,MouthFreshener,trade,0.15,5232,38665.0,31467.0,1.23
PROMO-0013,FMCG-SPIC-119,Spices,trade,0.15,0,-790.0,152365.0,-0.01
PROMO-0014,FMCG-MOUT-049,MouthFreshener,festival,0.2,4863,134915.0,633721.0,0.21
PROMO-0015,FMCG-SNAC-105,Snacks,festival,0.2,2342,15393.0,84493.0,0.18
PROMO-0016,FMCG-MOUT-056,MouthFreshener,trade,0.12,2250,122431.0,334801.0,0.37
PROMO-0017,FMCG-SNAC-113,Snacks,festival,0.12,431,5807.0,189626.0,0.03
PROMO-0018,FMCG-MOUT-052,MouthFreshener,trade,0.1,1323,38507.0,19173.0,2.01
PROMO-0019,FMCG-DAIR-084,Dairy,trade,0.25,1234,30284.0,507017.0,0.06
PROMO-0020,FMCG-CONF-011,Confectionery,consumer,0.2,658,4629.0,85851.0,0.05
PROMO-0021,FMCG-CONF-021,Confectionery,consumer,0.1,1213,3919.0,9097.0,0.43
PROMO-0022,FMCG-SNAC-114,Snacks,trade,0.08,710,19702.0,133716.0,0.15
PROMO-0023,FMCG-DAIR-089,Dairy,consumer,0.25,2158,26612.0,266627.0,0.1
PROMO-0024,FMCG-DAIR-086,Dairy,trade,0.05,220,2877.0,65425.0,0.04
PROMO-0025,FMCG-MOUT-050,MouthFreshener,trade,0.12,1025,57017.0,49085.0,1.16
PROMO-0026,FMCG-CONF-002,Confectionery,consumer,0.1,523,3033.0,28264.0,0.11
PROMO-0027,FMCG-CONF-018,Confectionery,consumer,0.15,538,2015.0,8072.0,0.25
PROMO-0028,FMCG-BEVE-082,Beverages,trade,0.25,2299,45138.0,204556.0,0.22
PROMO-0029,FMCG-CONF-009,Confectionery,consumer,0.2,0,-39.0,37973.0,-0.0
PROMO-0030,FMCG-BEVE-060,Beverages,trade,0.15,902,30726.0,310681.0,0.1
PROMO-0031,FMCG-SNAC-102,Snacks,trade,0.12,265,1485.0,5175.0,0.29
PROMO-0032,FMCG-DAIR-087,Dairy,consumer,0.15,331,3916.0,243627.0,0.02
PROMO-0033,FMCG-CONF-002,Confectionery,festival,0.25,3063,17738.0,85417.0,0.21
PROMO-0034,FMCG-DAIR-087,Dairy,consumer,0.15,332,3928.0,235246.0,0.02
PROMO-0035,FMCG-SNAC-117,Snacks,trade,0.15,935,11426.0,99387.0,0.11
PROMO-0036,FMCG-SPIC-129,Spices,trade,0.2,985,26596.0,94922.0,0.28
PROMO-0037,FMCG-CONF-023,Confectionery,festival,0.05,511,225.0,2890.0,0.08
PROMO-0038,FMCG-CONF-001,Confectionery,consumer,0.08,2990,15789.0,16724.0,0.94
PROMO-0039,FMCG-CONF-030,Confectionery,trade,0.05,2753,11291.0,18867.0,0.6
PROMO-0040,FMCG-MOUT-031,MouthFreshener,trade,0.25,1385,34021.0,240165.0,0.14
PROMO-0041,FMCG-MOUT-056,MouthFreshener,consumer,0.12,2800,152389.0,388991.0,0.39
PROMO-0042,FMCG-BEVE-062,Beverages,festival,0.12,1661,10863.0,76885.0,0.14
PROMO-0043,FMCG-MOUT-050,MouthFreshener,consumer,0.25,933,51901.0,1395458.0,0.04
PROMO-0044,FMCG-SNAC-116,Snacks,consumer,0.08,314,4611.0,77937.0,0.06
PROMO-0045,FMCG-BEVE-082,Beverages,trade,0.1,3414,67033.0,154274.0,0.43
PROMO-0046,FMCG-BEVE-073,Beverages,consumer,0.2,1162,16908.0,177594.0,0.1
PROMO-0047,FMCG-MOUT-058,MouthFreshener,festival,0.2,860,2280.0,36782.0,0.06
PROMO-0048,FMCG-DAIR-094,Dairy,trade,0.2,0,-524.0,142353.0,-0.0
PROMO-0049,FMCG-SNAC-102,Snacks,festival,0.15,556,3115.0,23194.0,0.13
PROMO-0050,FMCG-MOUT-035,MouthFreshener,festival,0.08,8965,337457.0,152175.0,2.22
PROMO-0051,FMCG-DAIR-098,Dairy,trade,0.2,2293,94498.0,77085.0,1.23
PROMO-0052,FMCG-SPIC-130,Spices,consumer,0.08,1754,29082.0,144092.0,0.2
PROMO-0053,FMCG-BEVE-081,Beverages,consumer,0.12,152,2946.0,210374.0,0.01
PROMO-0054,FMCG-CONF-005,Confectionery,festival,0.2,621,2137.0,70320.0,0.03
PROMO-0055,FMCG-SPIC-128,Spices,trade,0.15,1978,44061.0,173097.0,0.25
PROMO-0056,FMCG-SNAC-107,Snacks,consumer,0.2,800,16111.0,285551.0,0.06
PROMO-0057,FMCG-SPIC-138,Spices,trade,0.25,0,-593.0,3444820.0,-0.0
PROMO-0058,FMCG-CONF-002,Confectionery,trade,0.08,1274,7381.0,30038.0,0.25
PROMO-0059,FMCG-MOUT-042,MouthFreshener,consumer,0.25,669,13767.0,409899.0,0.03
PROMO-0060,FMCG-MOUT-044,MouthFreshener,consumer,0.12,184,5993.0,370992.0,0.02
PROMO-0061,FMCG-BEVE-067,Beverages,trade,0.05,1116,28687.0,20622.0,1.39
PROMO-0062,FMCG-SPIC-124,Spices,festival,0.15,1974,246190.0,177013.0,1.39
PROMO-0063,FMCG-BEVE-078,Beverages,trade,0.1,180,5799.0,174000.0,0.03
PROMO-0064,FMCG-MOUT-051,MouthFreshener,consumer,0.2,1092,5847.0,57103.0,0.1
PROMO-0065,FMCG-BEVE-061,Beverages,festival,0.12,6268,173564.0,163065.0,1.06
PROMO-0066,FMCG-DAIR-092,Dairy,trade,0.12,0,-347.0,844358.0,-0.0
PROMO-0067,FMCG-SPIC-126,Spices,trade,0.1,487,50801.0,111437.0,0.46
PROMO-0068,FMCG-SPIC-132,Spices,festival,0.08,1200,44218.0,494199.0,0.09
PROMO-0069,FMCG-CONF-010,Confectionery,festival,0.15,667,761.0,24150.0,0.03
PROMO-0070,FMCG-DAIR-089,Dairy,festival,0.1,729,8991.0,46745.0,0.19
PROMO-0071,FMCG-SNAC-110,Snacks,consumer,0.15,1893,50901.0,314936.0,0.16
PROMO-0072,FMCG-BEVE-080,Beverages,consumer,0.15,671,24431.0,502983.0,0.05
PROMO-0073,FMCG-CONF-016,Confectionery,trade,0.1,1039,2983.0,33801.0,0.09
PROMO-0074,FMCG-CONF-020,Confectionery,festival,0.08,493,568.0,12049.0,0.05
PROMO-0075,FMCG-MOUT-044,MouthFreshener,trade,0.12,489,15871.0,308819.0,0.05
PROMO-0076,FMCG-DAIR-083,Dairy,trade,0.25,4173,136255.0,328134.0,0.42
PROMO-0077,FMCG-SNAC-103,Snacks,trade,0.25,1315,10851.0,262647.0,0.04
PROMO-0078,FMCG-CONF-017,Confectionery,festival,0.08,0,-16.0,674.0,-0.02
PROMO-0079,FMCG-SNAC-107,Snacks,festival,0.08,342,6899.0,40126.0,0.17
PROMO-0080,FMCG-MOUT-057,MouthFreshener,festival,0.12,1157,11348.0,116686.0,0.1
PROMO-0081,FMCG-CONF-015,Confectionery,consumer,0.05,680,1163.0,8926.0,0.13
PROMO-0082,FMCG-BEVE-082,Beverages,festival,0.12,2979,58483.0,224427.0,0.26
PROMO-0083,FMCG-CONF-014,Confectionery,festival,0.12,1103,2638.0,8065.0,0.33
PROMO-0084,FMCG-MOUT-038,MouthFreshener,festival,0.1,1791,13241.0,55131.0,0.24
PROMO-0085,FMCG-MOUT-031,MouthFreshener,trade,0.25,613,15070.0,409561.0,0.04
PROMO-0086,FMCG-CONF-012,Confectionery,festival,0.2,365,1471.0,29782.0,0.05
PROMO-0087,FMCG-BEVE-059,Beverages,festival,0.05,433,12742.0,13939.0,0.91
PROMO-0088,FMCG-MOUT-045,MouthFreshener,consumer,0.15,219,272.0,4885.0,0.06
PROMO-0089,FMCG-MOUT-034,MouthFreshener,festival,0.25,1750,17763.0,217046.0,0.08
PROMO-0090,FMCG-CONF-013,Confectionery,trade,0.1,776,3068.0,44892.0,0.07
PROMO-0091,FMCG-BEVE-068,Beverages,consumer,0.1,1606,23266.0,81503.0,0.29
PROMO-0092,FMCG-SNAC-110,Snacks,consumer,0.08,512,13768.0,34654.0,0.4
PROMO-0093,FMCG-DAIR-098,Dairy,festival,0.05,673,27741.0,89860.0,0.31
PROMO-0094,FMCG-SPIC-129,Spices,consumer,0.2,411,11098.0,497795.0,0.02
PROMO-0095,FMCG-BEVE-063,Beverages,trade,0.15,7125,296621.0,330597.0,0.9
PROMO-0096,FMCG-DAIR-097,Dairy,trade,0.15,1473,57830.0,484626.0,0.12
PROMO-0097,FMCG-MOUT-058,MouthFreshener,festival,0.25,2917,7732.0,42489.0,0.18
PROMO-0098,FMCG-MOUT-051,MouthFreshener,festival,0.1,280,1503.0,22017.0,0.07
PROMO-0099,FMCG-MOUT-034,MouthFreshener,festival,0.15,4819,48915.0,40125.0,1.22
PROMO-0100,FMCG-DAIR-089,Dairy,trade,0.08,708,8732.0,67118.0,0.13
PROMO-0101,FMCG-BEVE-064,Beverages,trade,0.1,276,10749.0,151996.0,0.07
PROMO-0102,FMCG-SNAC-112,Snacks,festival,0.15,662,2670.0,108062.0,0.02
PROMO-0103,FMCG-SPIC-119,Spices,festival,0.05,0,-395.0,36547.0,-0.01
PROMO-0104,FMCG-SNAC-112,Snacks,consumer,0.1,898,3623.0,6777.0,0.53
PROMO-0105,FMCG-BEVE-076,Beverages,trade,0.05,245,2280.0,4587.0,0.5
PROMO-0106,FMCG-DAIR-085,Dairy,consumer,0.1,531,32850.0,293001.0,0.11
PROMO-0107,FMCG-BEVE-080,Beverages,trade,0.08,205,7464.0,185074.0,0.04
PROMO-0108,FMCG-SNAC-112,Snacks,festival,0.08,1442,5813.0,4702.0,1.24
PROMO-0109,FMCG-SNAC-101,Snacks,trade,0.05,1265,12834.0,20451.0,0.63
PROMO-0110,FMCG-CONF-016,Confectionery,consumer,0.2,1755,5039.0,31372.0,0.16
PROMO-0111,FMCG-MOUT-049,MouthFreshener,trade,0.25,0,-716.0,372797.0,-0.0
PROMO-0112,FMCG-CONF-025,Confectionery,festival,0.25,4086,3923.0,25170.0,0.16
PROMO-0113,FMCG-MOUT-033,MouthFreshener,trade,0.25,941,34976.0,1599674.0,0.02
PROMO-0114,FMCG-SNAC-106,Snacks,festival,0.08,4845,70312.0,134798.0,0.52
PROMO-0115,FMCG-BEVE-062,Beverages,festival,0.12,2138,13983.0,104798.0,0.13
PROMO-0116,FMCG-SPIC-129,Spices,consumer,0.08,389,10504.0,252894.0,0.04
PROMO-0117,FMCG-SNAC-114,Snacks,festival,0.15,395,10974.0,282936.0,0.04
PROMO-0118,FMCG-BEVE-078,Beverages,trade,0.12,368,11823.0,256120.0,0.05
PROMO-0119,FMCG-SPIC-119,Spices,festival,0.15,1452,50673.0,392901.0,0.13
PROMO-0120,FMCG-SPIC-127,Spices,trade,0.2,596,65448.0,1759239.0,0.04
PROMO-0121,FMCG-CONF-003,Confectionery,consumer,0.2,695,2948.0,37174.0,0.08
PROMO-0122,FMCG-MOUT-054,MouthFreshener,festival,0.12,901,1858.0,12597.0,0.15
PROMO-0123,FMCG-MOUT-042,MouthFreshener,consumer,0.2,1203,24739.0,334185.0,0.07
PROMO-0124,FMCG-CONF-010,Confectionery,festival,0.12,550,628.0,19853.0,0.03
PROMO-0125,FMCG-SPIC-129,Spices,trade,0.12,445,12016.0,169201.0,0.07
PROMO-0126,FMCG-BEVE-060,Beverages,trade,0.08,1063,36217.0,258228.0,0.14
PROMO-0127,FMCG-MOUT-048,MouthFreshener,consumer,0.05,1499,41305.0,93759.0,0.44
PROMO-0128,FMCG-CONF-007,Confectionery,festival,0.05,550,1983.0,22312.0,0.09
PROMO-0129,FMCG-DAIR-092,Dairy,trade,0.15,0,-116.0,793093.0,-0.0
PROMO-0130,FMCG-CONF-023,Confectionery,trade,0.15,1725,759.0,5645.0,0.13
PROMO-0131,FMCG-DAIR-097,Dairy,trade,0.05,672,26403.0,266754.0,0.1
PROMO-0132,FMCG-BEVE-078,Beverages,festival,0.2,265,8523.0,147551.0,0.06
PROMO-0133,FMCG-SNAC-102,Snacks,trade,0.05,732,4101.0,31493.0,0.13
PROMO-0134,FMCG-MOUT-037,MouthFreshener,trade,0.05,885,10489.0,60146.0,0.17
PROMO-0135,FMCG-SPIC-129,Spices,consumer,0.25,1265,34157.0,279662.0,0.12
PROMO-0136,FMCG-SPIC-120,Spices,festival,0.05,127,11851.0,394358.0,0.03
PROMO-0137,FMCG-SPIC-119,Spices,consumer,0.08,0,-395.0,186352.0,-0.0
PROMO-0138,FMCG-CONF-030,Confectionery,consumer,0.2,2434,9982.0,51700.0,0.19
PROMO-0139,FMCG-DAIR-092,Dairy,festival,0.08,552,23299.0,483562.0,0.05
PROMO-0140,FMCG-CONF-015,Confectionery,festival,0.08,230,394.0,22405.0,0.02
PROMO-0141,FMCG-CONF-025,Confectionery,festival,0.15,1810,1738.0,2638.0,0.66
PROMO-0142,FMCG-BEVE-071,Beverages,trade,0.12,1257,30768.0,211285.0,0.15
PROMO-0143,FMCG-BEVE-063,Beverages,consumer,0.25,3338,138977.0,453709.0,0.31
PROMO-0144,FMCG-SPIC-124,Spices,consumer,0.25,1820,226991.0,3270551.0,0.07
PROMO-0145,FMCG-DAIR-089,Dairy,trade,0.08,2458,30314.0,37237.0,0.81
PROMO-0146,FMCG-BEVE-070,Beverages,festival,0.05,437,12260.0,29600.0,0.41
PROMO-0147,FMCG-MOUT-046,MouthFreshener,consumer,0.12,713,35508.0,273343.0,0.13
PROMO-0148,FMCG-CONF-008,Confectionery,consumer,0.12,2384,11686.0,61332.0,0.19
PROMO-0149,FMCG-CONF-020,Confectionery,festival,0.12,1306,1503.0,10729.0,0.14
PROMO-0150,FMCG-SPIC-138,Spices,festival,0.05,0,-1185.0,817300.0,-0.0
PROMO-0151,FMCG-DAIR-094,Dairy,festival,0.2,2405,95462.0,157917.0,0.6
PROMO-0152,FMCG-BEVE-078,Beverages,trade,0.05,554,17784.0,144116.0,0.12
PROMO-0153,FMCG-SPIC-135,Spices,festival,0.12,5715,657639.0,1504569.0,0.44
