promo_id,sku,category,promo_type,discount_depth,start_week,duration_weeks,planned_spend_inr
PROMO-0001,FMCG-MOUT-039,MouthFreshener,trade,0.2,2025-06-16,3,164092.0
PROMO-0002,FMCG-SPIC-128,Spices,festival,0.05,2025-08-18,2,77571.0
PROMO-0003,FMCG-SNAC-114,Snacks,trade,0.1,2025-10-27,3,283405.0
PROMO-0004,FMCG-CONF-018,Confectionery,trade,0.08,2024-12-16,2,12144.0
PROMO-0005,FMCG-BEVE-072,Beverages,trade,0.2,2024-12-23,3,200010.0
PROMO-0006,FMCG-CONF-010,Confectionery,festival,0.2,2024-05-13,2,27581.0
PROMO-0007,FMCG-DAIR-094,Dairy,trade,0.15,2024-07-15,1,718244.0
PROMO-0008,FMCG-CONF-021,Confectionery,consumer,0.15,2025-04-07,3,17940.0
PROMO-0009,FMCG-MOUT-053,MouthFreshener,trade,0.05,2024-10-14,2,7664.0
PROMO-0010,FMCG-SNAC-104,Snacks,trade,0.05,2025-05-26,3,51976.0
PROMO-0011,FMCG-DAIR-087,Dairy,festival,0.08,2025-12-01,2,69521.0
PROMO-0012,FMCG-MOUT-038,MouthFreshener,trade,0.15,2024-10-14,3,31467.0
PROMO-0013,FMCG-SPIC-119,Spices,trade,0.15,2025-04-14,2,152365.0
PROMO-0014,FMCG-MOUT-049,MouthFreshener,festival,0.2,2025-03-31,3,633721.0
PROMO-0015,FMCG-SNAC-105,Snacks,festival,0.2,2025-02-24,3,84493.0
PROMO-0016,FMCG-MOUT-056,MouthFreshener,trade,0.12,2025-08-11,2,334801.0
PROMO-0017,FMCG-SNAC-113,Snacks,festival,0.12,2025-10-06,1,189626.0
PROMO-0018,FMCG-MOUT-052,MouthFreshener,trade,0.1,2024-01-22,3,19173.0
PROMO-0019,FMCG-DAIR-084,Dairy,trade,0.25,2025-07-14,3,507017.0
PROMO-0020,FMCG-CONF-011,Confectionery,consumer,0.2,2025-04-28,1,85851.0
PROMO-0021,FMCG-CONF-021,Confectionery,consumer,0.1,2024-11-18,2,9097.0
PROMO-0022,FMCG-SNAC-114,Snacks,trade,0.08,2024-01-01,2,133716.0
PROMO-0023,FMCG-DAIR-089,Dairy,consumer,0.25,2025-09-01,2,266627.0
PROMO-0024,FMCG-DAIR-086,Dairy,trade,0.05,2025-03-03,2,65425.0
PROMO-0025,FMCG-MOUT-050,MouthFreshener,trade,0.12,2025-07-14,1,49085.0
PROMO-0026,FMCG-CONF-002,Confectionery,consumer,0.1,2025-12-08,1,28264.0
PROMO-0027,FMCG-CONF-018,Confectionery,consumer,0.15,2025-08-25,1,8072.0
PROMO-0028,FMCG-BEVE-082,Beverages,trade,0.25,2025-09-01,1,204556.0
PROMO-0029,FMCG-CONF-009,Confectionery,consumer,0.2,2025-03-24,1,37973.0
PROMO-0030,FMCG-BEVE-060,Beverages,trade,0.15,2025-12-22,2,310681.0
PROMO-0031,FMCG-SNAC-102,Snacks,trade,0.12,2025-07-28,1,5175.0
PROMO-0032,FMCG-DAIR-087,Dairy,consumer,0.15,2023-12-25,1,243627.0
PROMO-0033,FMCG-CONF-002,Confectionery,festival,0.25,2024-10-14,3,85417.0
PROMO-0034,FMCG-DAIR-087,Dairy,consumer,0.15,2025-11-03,1,235246.0
PROMO-0035,FMCG-SNAC-117,Snacks,trade,0.15,2024-09-30,1,99387.0
PROMO-0036,FMCG-SPIC-129,Spices,trade,0.2,2025-02-24,2,94922.0
PROMO-0037,FMCG-CONF-023,Confectionery,festival,0.05,2024-07-08,1,2890.0
PROMO-0038,FMCG-CONF-001,Confectionery,consumer,0.08,2025-10-13,2,16724.0
PROMO-0039,FMCG-CONF-030,Confectionery,trade,0.05,2025-06-16,3,18867.0
PROMO-0040,FMCG-MOUT-031,MouthFreshener,trade,0.25,2025-07-07,2,240165.0
PROMO-0041,FMCG-MOUT-056,MouthFreshener,consumer,0.12,2024-09-30,3,388991.0
PROMO-0042,FMCG-BEVE-062,Beverages,festival,0.12,2024-03-11,3,76885.0
PROMO-0043,FMCG-MOUT-050,MouthFreshener,consumer,0.25,2024-12-16,1,1395458.0
PROMO-0044,FMCG-SNAC-116,Snacks,consumer,0.08,2025-06-09,2,77937.0
PROMO-0045,FMCG-BEVE-082,Beverages,trade,0.1,2024-06-10,2,154274.0
PROMO-0046,FMCG-BEVE-073,Beverages,consumer,0.2,2025-03-17,2,177594.0
PROMO-0047,FMCG-MOUT-058,MouthFreshener,festival,0.2,2025-07-07,1,36782.0
PROMO-0048,FMCG-DAIR-094,Dairy,trade,0.2,2024-06-24,2,142353.0
PROMO-0049,FMCG-SNAC-102,Snacks,festival,0.15,2024-02-19,2,23194.0
