week_start,distributor_code,zone,state,sku,brand,category,units,unit_price,revenue,promo_flag,promo_id
2024-08-12,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2024-08-19,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,12,71.0,852.0,0,
2024-08-26,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,12,71.0,852.0,0,
2024-09-02,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2024-09-09,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2024-09-16,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2024-09-23,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2024-09-30,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2024-10-07,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,8,71.0,568.0,0,
2024-10-14,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,11,71.0,781.0,0,
2024-10-21,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,8,71.0,568.0,0,
2024-10-28,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,8,71.0,568.0,0,
2024-11-04,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,11,71.0,781.0,0,
2024-11-11,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,1,71.0,71.0,0,
2024-11-18,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2024-11-25,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,8,71.0,568.0,0,
2024-12-02,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2024-12-09,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2024-12-16,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2024-12-23,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,8,71.0,568.0,0,
2024-12-30,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,10,71.0,710.0,0,
2025-01-06,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-01-13,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,1,71.0,71.0,0,
2025-01-20,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2025-01-27,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-02-03,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,4,71.0,284.0,0,
2025-02-10,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2025-02-17,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-02-24,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-03-03,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-03-10,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-03-17,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-03-24,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-03-31,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-04-07,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2025-04-14,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2025-04-21,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-04-28,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
2025-05-05,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-05-12,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-05-19,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-05-26,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-06-02,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,1,71.0,71.0,0,
2025-06-09,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-06-16,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,1,71.0,71.0,0,
2025-06-23,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-06-30,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-07-07,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,6,71.0,426.0,0,
2025-07-14,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,9,71.0,639.0,0,
2025-07-21,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,5,71.0,355.0,0,
2025-07-28,DIST-0001,Central,Chhattisgarh,FMCG-MOUT-040,SilverElaichi,MouthFreshener,7,71.0,497.0,0,
