month,zone,category,actual_revenue,target_revenue
2023-10,Central,Beverages,621276.0,642645.0
2023-10,Central,Confectionery,117523.08,109615.0
2023-10,Central,Dairy,380496.0,396811.0
2023-10,Central,MouthFreshener,939032.0,1056772.0
2023-10,Central,Snacks,302406.8,299211.0
2023-10,Central,Spices,1321594.0,1445099.0
2023-10,East,Beverages,794477.0,878462.0
2023-10,East,Confectionery,155309.48,174651.0
2023-10,East,Dairy,526618.0,566662.0
2023-10,East,MouthFreshener,1169961.0,1124755.0
2023-10,East,Snacks,373444.0,388972.0
2023-10,East,Spices,1396651.0,1389251.0
2023-10,North,Beverages,543162.0,573647.0
2023-10,North,Confectionery,101653.76,113037.0
2023-10,North,Dairy,242863.0,265127.0
2023-10,North,MouthFreshener,785659.0,758048.0
2023-10,North,Snacks,190263.2,184500.0
2023-10,North,Spices,841346.0,921530.0
2023-10,South,Beverages,703048.0,769096.0
2023-10,South,Confectionery,124065.52,132339.0
2023-10,South,Dairy,455020.0,437261.0
2023-10,South,MouthFreshener,1122994.0,1232626.0
2023-10,South,Snacks,318459.0,319140.0
2023-10,South,Spices,1253762.0,1239849.0
2023-10,West,Beverages,702293.0,789654.0
2023-10,West,Confectionery,130635.16,146046.0
2023-10,West,Dairy,488874.0,560759.0
2023-10,West,MouthFreshener,1061886.0,1120587.0
2023-10,West,Snacks,304665.0,318785.0
2023-10,West,Spices,1286058.0,1219604.0
2023-11,Central,Beverages,383010.76,382939.0
2023-11,Central,Confectionery,70322.0,74324.0
2023-11,Central,Dairy,311083.0,351390.0
2023-11,Central,MouthFreshener,534900.0,611495.0
2023-11,Central,Snacks,239051.0,216400.0
2023-11,Central,Spices,1129721.0,1202933.0
2023-11,East,Beverages,488977.28,561269.0
2023-11,East,Confectionery,91146.0,99088.0
2023-11,East,Dairy,439218.0,471922.0
2023-11,East,MouthFreshener,651192.0,668259.0
2023-11,East,Snacks,300041.0,296555.0
2023-11,East,Spices,1174225.0,1104471.0
2023-11,North,Beverages,339065.64,316117.0
2023-11,North,Confectionery,60157.0,58700.0
2023-11,North,Dairy,197829.0,187633.0
2023-11,North,MouthFreshener,449896.0,509890.0
2023-11,North,Snacks,159072.0,166555.0
2023-11,North,Spices,729606.0,764336.0
2023-11,South,Beverages,439388.0,419066.0
2023-11,South,Confectionery,75052.0,67777.0
2023-11,South,Dairy,383407.0,395161.0
2023-11,South,MouthFreshener,639837.0,642499.0
2023-11,South,Snacks,257492.0,267697.0
2023-11,South,Spices,1033698.0,1103506.0
2023-11,West,Beverages,430534.88,463188.0
2023-11,West,Confectionery,77007.0,85404.0
2023-11,West,Dairy,399282.0,375439.0
2023-11,West,MouthFreshener,601401.0,596944.0
2023-11,West,Snacks,246579.0,227501.0
2023-11,West,Spices,1128325.0,1214399.0
2023-12,Central,Beverages,294948.2,267146.0
2023-12,Central,Confectionery,72879.14,65860.0
2023-12,Central,Dairy,322865.4,351608.0
2023-12,Central,MouthFreshener,515139.5,502310.0
2023-12,Central,Snacks,238982.4,240284.0
2023-12,Central,Spices,1373351.0,1532566.0
2023-12,East,Beverages,393545.4,367225.0
2023-12,East,Confectionery,94908.59,96385.0
2023-12,East,Dairy,446739.65,490632.0
2023-12,East,MouthFreshener,642715.25,593341.0
2023-12,East,Snacks,305199.56,299148.0
2023-12,East,Spices,1443716.0,1630054.0
2023-12,North,Beverages,263465.0,241378.0
2023-12,North,Confectionery,61785.23,64357.0
2023-12,North,Dairy,206552.5,214019.0
2023-12,North,MouthFreshener,429502.75,402028.0
2023-12,North,Snacks,158238.52,150215.0
2023-12,North,Spices,867263.0,802990.0
2023-12,South,Beverages,340402.8,366781.0
2023-12,South,Confectionery,77688.9,74391.0
2023-12,South,Dairy,397981.2,405492.0
2023-12,South,MouthFreshener,623815.25,655826.0
2023-12,South,Snacks,259318.52,254818.0
2023-12,South,Spices,1231162.0,1126654.0
2023-12,West,Beverages,333608.0,317446.0
2023-12,West,Confectionery,79806.14,82952.0
2023-12,West,Dairy,408240.65,400584.0
2023-12,West,MouthFreshener,587184.75,644694.0
2023-12,West,Snacks,255890.64,261616.0
2023-12,West,Spices,1299443.0,1396654.0
2024-01,Central,Beverages,351143.4,344068.0
2024-01,Central,Confectionery,84707.4,91675.0
2024-01,Central,Dairy,438856.35,399602.0
2024-01,Central,MouthFreshener,563760.2,626539.0
2024-01,Central,Snacks,291042.18,327373.0
2024-01,Central,Spices,1822759.0,1868776.0
2024-01,East,Beverages,441382.0,428800.0
2024-01,East,Confectionery,110618.8,111558.0
2024-01,East,Dairy,613089.6,671082.0
2024-01,East,MouthFreshener,664874.0,688869.0
2024-01,East,Snacks,381524.08,419391.0
2024-01,East,Spices,1920995.0,1782209.0
2024-01,North,Beverages,298699.4,272513.0
2024-01,North,Confectionery,73749.0,75181.0
2024-01,North,Dairy,279247.2,279659.0
2024-01,North,MouthFreshener,457787.8,449473.0
2024-01,North,Snacks,194414.98,209127.0
2024-01,North,Spices,1166724.0,1055265.0
2024-01,South,Beverages,393881.2,406867.0
2024-01,South,Confectionery,89581.2,91609.0
2024-01,South,Dairy,534212.05,535061.0
2024-01,South,MouthFreshener,652087.8,596078.0
2024-01,South,Snacks,314788.12,341859.0
2024-01,South,Spices,1700284.0,1765627.0
2024-01,West,Beverages,387117.0,444221.0
2024-01,West,Confectionery,95309.0,86155.0
2024-01,West,Dairy,561402.6,556875.0
2024-01,West,MouthFreshener,627824.5,663854.0
2024-01,West,Snacks,310414.32,309522.0
2024-01,West,Spices,1784447.0,2015006.0
2024-02,Central,Beverages,298286.0,301071.0
2024-02,Central,Confectionery,71255.2,77559.0
2024-02,Central,Dairy,369407.0,339785.0
2024-02,Central,MouthFreshener,453394.85,501357.0
2024-02,Central,Snacks,221196.41,232361.0
2024-02,Central,Spices,1547886.8,1712979.0
2024-02,East,Beverages,389351.0,367229.0
2024-02,East,Confectionery,93139.2,104903.0
2024-02,East,Dairy,521558.0,590377.0
2024-02,East,MouthFreshener,548968.1,561627.0
2024-02,East,Snacks,278318.18,275906.0
2024-02,East,Spices,1576312.0,1475204.0
2024-02,North,Beverages,264738.0,259107.0
2024-02,North,Confectionery,61262.2,66810.0
2024-02,North,Dairy,243625.0,267914.0
2024-02,North,MouthFreshener,375982.35,346979.0
2024-02,North,Snacks,145302.66,147463.0
2024-02,North,Spices,990584.8,1091921.0
2024-02,South,Beverages,344377.0,351615.0
2024-02,South,Confectionery,75072.0,71186.0
2024-02,South,Dairy,450121.0,489854.0
2024-02,South,MouthFreshener,529159.5,499145.0
2024-02,South,Snacks,239740.23,216008.0
2024-02,South,Spices,1431023.2,1480547.0
2024-02,West,Beverages,335336.0,376616.0
2024-02,West,Confectionery,76441.2,77884.0
2024-02,West,Dairy,469733.0,504380.0
2024-02,West,MouthFreshener,507651.05,564775.0
2024-02,West,Snacks,231664.9,221803.0
2024-02,West,Spices,1484003.4,1448634.0
2024-03,Central,Beverages,410370.12,423682.0
2024-03,Central,Confectionery,98384.0,103217.0
2024-03,Central,Dairy,396975.0,406864.0
2024-03,Central,MouthFreshener,674176.72,720157.0
2024-03,Central,Snacks,208888.0,205289.0
2024-03,Central,Spices,1685204.0,1654667.0
2024-03,East,Beverages,534434.62,528499.0
2024-03,East,Confectionery,131104.0,126024.0
2024-03,East,Dairy,547758.0,506774.0
2024-03,East,MouthFreshener,793874.58,829260.0
2024-03,East,Snacks,263568.0,242161.0
2024-03,East,Spices,1676284.0,1656156.0
2024-03,North,Beverages,351520.3,391713.0
2024-03,North,Confectionery,85621.0,91670.0
2024-03,North,Dairy,241330.0,228967.0
2024-03,North,MouthFreshener,562692.77,588060.0
2024-03,North,Snacks,138329.0,140294.0
